"가락시장",66,0,0,0,0,119,228,344,771,778,805,931,976,1008,927,978,1031,1092,793,581,468,462,416,197,12971,1157.223,868.944,38
"가산디지털단지",221,0,0,0,0,180,228,394,470,477,429,585,887,1207,1346,1671,2054,2606,2296,1793,1554,1927,878,302,21505,390.518,763.918,17
"강남",0,0,0,0,24,1313,1182,999,1443,1665,2263,3478,4678,5738,6126,7560,8851,9955,8199,6035,6129,7795,9038,5641,98112,889.279,908.681,2
"강남구청",156,0,0,0,0,107,144,154,275,326,413,590,793,941,1108,1088,1383,1657,1313,1136,892,942,783,353,14554,985.804,752.112,7
"강동",48,0,0,0,0,254,408,670,1276,1273,1099,1233,1386,1382,1365,1250,1308,1404,1041,610,517,488,417,165,17594,1264.418,716.373,5
"강동구청",53,0,0,0,0,111,211,331,595,553,533,584,593,645,704,610,663,645,475,363,262,306,216,80,8533,1194.134,748.703,8
"강변",0,0,0,0,4,334,547,1080,2480,3262,3711,4407,4482,4496,4453,4399,4571,4669,3947,3543,2621,2009,1640,711,57366,1096.235,670.037,2
"개화산",15,0,0,0,0,105,149,279,402,331,335,362,366,361,347,320,402,374,310,185,161,105,121,41,5071,201.505,530.358,5
"거여",10,0,0,0,0,123,196,336,537,464,467,517,524,462,490,377,421,411,303,193,167,166,122,37,6323,1314.81,896.19,5
"건대입구",277,0,0,0,9,1106,1188,1315,2390,2539,2161,2442,3514,3961,3995,4221,4682,5124,4833,3991,4350,4866,5403,3907,66274,1077.788,603.785,27
"경복궁",1,0,0,0,2,84,141,244,461,662,663,871,1149,1478,1680,1637,2122,2393,2248,1546,1130,952,851,307,20622,719.128,313.009,3
"경찰병원",0,0,0,0,1,56,118,193,373,385,345,381,361,415,346,352,340,366,242,176,180,180,148,32,4990,1241.478,840.421,3
"고덕",35,0,0,0,0,57,104,228,315,354,428,539,596,506,509,536,635,506,368,279,264,197,187,76,6719,1355.677,671.859,5
"고려대",36,0,0,0,0,116,142,255,477,449,388,435,489,524,577,563,696,716,495,309,223,206,238,117,7451,1025.302,331.115,6
"고속터미널",117,0,0,0,0,464,396,1001,2157,3472,4330,5780,6289,6948,8567,9024,10262,9977,9397,8091,7375,5601,4123,1419,104790,850.837,837.545,37
"공덕",221,0,0,0,0,215,322,418,740,871,970,1182,1364,1524,1521,1510,1519,1665,1529,1163,1052,1159,1123,620,20688,620.999,617.697,56
"공릉",80,0,0,0,0,179,279,428,755,714,711,725,811,798,731,598,712,734,531,385,349,319,347,164,10350,1193.903,282.891,7
"광나루",45,0,0,0,0,97,228,401,803,915,736,860,945,893,954,987,959,997,802,490,362,1491,760,190,13915,1137.21,656.679,5
"광명사거리",75,0,0,0,0,627,802,1407,2124,1805,1503,1540,1673,1613,1641,1607,1759,1898,1496,1192,849,780,577,272,25240,330.852,768.553,7
"광화문",199,0,0,0,0,49,100,163,301,359,452,733,1117,1449,2259,2485,3364,4465,4918,3951,2971,2358,1872,568,34133,683.564,369.616,5
"광흥창",36,0,0,0,0,70,128,190,311,396,431,460,533,524,437,481,505,557,476,303,272,252,253,109,6724,539.321,601.189,6
"교대",2,0,0,0,1,185,446,535,1060,1422,1466,2060,2295,2743,3020,3018,2861,3283,2611,2015,2109,2299,2626,1151,37208,846.203,910.047,23
"구로디지털단지",2,0,0,0,8,1281,1394,1861,3402,3391,2712,2656,2869,3090,2825,2784,3023,3662,2976,1995,1665,1773,1593,808,45770,500.574,802.592,2
"구산",18,0,0,0,0,101,164,321,476,453,478,448,494,481,478,411,494,437,347,231,169,175,162,47,6385,385.971,343.656,6
"구의",0,0,0,0,2,335,566,779,1614,1620,1143,1266,1240,1351,1289,1237,1271,1325,1070,777,677,620,608,285,19075,1093.556,637.513,2
"구파발",1,0,0,0,6,186,338,716,1067,1180,1033,1094,1096,1106,926,948,1050,945,611,331,262,241,140,49,13326,331.775,313.009,3
"군자",182,0,0,0,0,369,539,851,1546,1467,1153,1307,1351,1510,1420,1386,1708,1777,1526,1118,962,1019,974,496,22661,1137.211,608.45,57
"굽은다리",32,0,0,0,0,150,220,472,652,624,547,684,673,742,691,644,677,657,492,317,303,385,318,98,9378,1327.622,709.451,5
"금호",0,0,0,0,0,113,169,280,566,615,516,558,632,594,505,476,476,509,376,230,184,186,170,51,7206,892.776,572.028,3
"길동",30,0,0,0,0,117,188,298,473,440,439,491,450,502,536,505,483,525,395,280,291,235,241,72,6991,1300.476,716.373,5
"길음",0,0,0,0,3,290,544,1010,1680,1869,1585,1730,1661,1676,1592,1514,1710,1737,1332,891,696,558,473,168,22719,945.448,299.641,4
"김포공항",47,0,0,0,0,15,37,79,135,251,270,420,522,620,814,937,915,990,967,825,679,709,715,361,10308,196.871,562.553,5
"까치산",52,0,0,0,0,588,778,1450,2273,2333,1908,1992,2008,1866,1681,1504,1660,1734,1318,838,671,589,552,281,26076,345.771,650.367,25
"낙성대",2,0,0,0,1,342,522,887,1734,1882,1738,1904,2118,2169,1917,1955,1934,2341,1742,1184,893,832,820,407,27324,705.295,905.413,2
"남구로",63,0,0,0,0,488,459,684,984,973,664,619,676,743,664,644,707,878,727,500,491,386,350,170,11870,444.704,768.553,7
"남부터미널",0,0,0,0,0,94,284,473,1071,1585,2002,2522,2818,2986,2480,3448,3085,3303,2718,1850,1496,2036,1454,476,36181,861.91,944.582,3
"남성",33,0,0,0,0,157,227,405,790,814,705,785,767,725,616,595,595,663,502,271,311,250,241,118,9570,724.94,841.584,7
"남태령",0,0,0,0,0,10,12,29,83,63,89,157,73,74,143,141,130,102,103,29,21,17,15,6,1297,757.353,946.698,4
"내방",65,0,0,0,0,79,176,210,408,532,484,636,693,709,645,693,744,836,692,472,415,436,443,157,9525,803.566,841.584,7
"노원",203,0,0,0,3,526,712,1259,2167,2151,2278,2727,3145,3007,3024,3268,3747,3449,2906,2250,2629,2127,2025,1048,44651,1063.814,192.852,47
"녹번",0,0,0,0,3,249,461,794,1431,1277,1103,1123,1016,1035,883,846,917,850,669,399,295,254,182,77,13864,504.454,313.009,3
"녹사평",54,0,0,0,0,40,64,92,172,196,220,182,201,270,363,318,393,411,401,339,313,593,462,193,5277,738.161,622.157,6
"논현",519,0,0,0,0,225,261,266,403,492,544,594,765,919,1016,1124,1181,1417,1137,894,793,1072,1219,706,15547,953.958,835.849,7
"답십리",52,0,0,0,0,222,364,571,967,1045,854,892,863,971,976,982,1114,1253,932,649,473,375,314,151,14020,1110.581,518.04,5
"당고개",0,0,0,0,0,251,321,670,1043,988,838,885,769,920,893,1027,746,778,600,415,300,254,189,46,11933,1063.813,127.57,4
"당산",1,0,0,0,0,225,303,540,934,1154,1011,1220,1258,1294,1383,1483,1465,1586,1394,1274,669,635,693,353,18875,477.653,613.96,2
"대림",43,0,0,0,7,1395,1333,1637,2912,2947,2023,2173,2121,2323,2191,2035,2275,2462,1956,1626,1328,1372,1227,655,36041,486.922,768.553,27
"대청",1,0,0,0,0,90,219,339,524,587,588,645,681,667,615,533,624,774,448,331,232,226,164,57,8345,1082.793,962.105,3
"대치",1,0,0,0,0,76,202,208,463,491,565,710,875,1098,1000,875,1197,1248,974,588,460,411,567,140,12149,1005.979,962.105,3
"대흥",42,0,0,0,0,64,124,172,364,350,353,361,390,468,430,373,467,488,428,284,249,502,279,131,6319,574.278,621.428,6
"도곡",1,0,0,0,1,40,90,154,307,348,358,502,512,594,571,581,559,632,452,301,272,280,215,46,6816,967.904,966.74,3
"도림천",0,0,0,0,0,16,15,27,35,36,41,45,90,52,63,57,63,68,35,24,9,8,7,7,698,431.228,702.422,2
"도봉산",16,0,0,0,0,195,267,581,849,741,645,658,663,694,707,712,794,723,460,297,235,187,142,51,9617,956.056,192.853,17
"독립문",0,0,0,0,1,150,128,207,411,435,435,529,554,471,514,494,559,497,430,285,192,177,142,49,6660,661.654,313.009,3
"독바위",5,0,0,0,0,55,75,144,214,228,177,174,221,197,152,121,156,177,109,93,49,47,41,18,2453,412.847,271.974,6
"돌곶이",27,0,0,0,0,191,258,435,771,573,534,459,601,526,567,478,495,510,362,291,223,183,142,70,7696,1121.619,331.115,6
"동대문",16,0,0,0,25,978,582,681,963,1274,1543,2106,2615,3599,4426,4383,4571,4575,3130,2195,1743,1435,1358,751,42949,876.366,384.015,14
"동대문역사문화공원",19,0,0,0,17,737,604,610,567,859,945,1362,1582,1926,2607,2994,3661,3971,3405,2758,2552,2329,2095,1421,37021,871.891,447.234,245
"동대입구",0,0,0,0,1,34,81,96,214,213,240,376,516,613,620,875,899,691,1128,798,580,751,469,157,9352,800.298,549.974,3
"동묘앞",36,0,0,0,7,221,217,302,464,580,715,902,1102,1412,1854,2016,2098,1832,1429,726,657,497,484,175,17726,945.523,384.014,16
"동작",0,0,0,0,0,11,27,49,128,117,120,134,135,138,118,139,121,141,107,105,67,66,39,22,1784,757.353,786.528,4
"둔촌동",36,0,0,0,0,132,225,440,727,780,782,757,786,914,908,870,788,827,614,451,342,356,337,104,11176,1305.66,742.184,5
"디지털미디어시티",69,0,0,0,0,202,318,472,806,861,786,767,868,835,714,607,736,930,817,427,311,281,241,93,11141,410.349,461.301,6
"뚝섬",0,0,0,0,1,127,226,356,659,640,595,687,755,817,759,827,839,1065,721,463,398,416,348,129,10828,1053.888,547.665,2
"뚝섬유원지",17,0,0,0,0,119,178,292,508,578,429,379,435,422,448,397,520,513,308,214,219,188,141,85,6390,1002.496,620.333,7
"마곡",0,0,0,0,0,6,13,33,42,53,33,35,43,51,33,54,130,269,44,25,13,10,11,2,900,211.598,622.481,5
"마들",34,0,0,0,0,245,336,723,1000,890,823,919,870,785,663,648,720,694,459,299,193,194,136,52,10683,1029.086,188.219,7
"마장",26,0,0,0,0,53,105,175,301,315,326,334,399,365,384,405,357,404,330,214,232,192,234,85,5236,1052.575,509.412,5
"마천",9,0,0,0,0,153,166,353,552,451,424,403,423,369,387,347,351,343,275,159,143,125,74,31,5538,1314.81,928.81,5
"마포",121,0,0,0,0,85,176,232,429,485,490,598,729,882,962,826,829,975,661,475,558,537,495,231,10776,597.567,645.716,5
"마포구청",57,0,0,0,0,201,245,479,741,830,689,735,688,787,614,662,768,805,624,448,274,357,299,138,10441,455.598,506.923,6
"망원",64,0,0,0,0,151,212,352,700,662,588,668,709,748,688,580,632,659,552,360,286,322,335,184,9452,489.129,512.111,6
"매봉",0,0,0,0,0,50,120,158,274,350,408,532,526,577,635,595,613,700,492,403,404,410,364,136,7747,932.587,962.105,3
"먹골",34,0,0,0,0,198,246,423,769,724,649,656,743,925,804,824,810,744,496,369,354,294,312,124,10498,1193.903,362.101,7
"면목",46,0,0,0,0,315,432,724,1365,1118,821,837,952,879,834,781,861,957,693,466,395,347,331,113,13267,1193.903,468.831,7
"명동",0,0,0,0,2,45,92,157,241,591,933,1098,1664,2110,2858,3865,5446,6537,5916,4890,4560,5210,5043,2128,53386,746.47,495.017,4
"명일",15,0,0,0,0,102,180,384,582,605,642,689,760,700,646,609,641,539,405,272,279,248,167,59,8524,1345.212,694.504,5
"목동",77,0,0,0,0,191,322,589,1026,1109,941,1084,1287,1270,1111,1287,1319,1315,920,561,509,479,448,226,16071,386.734,645.691,5
"몽촌토성",14,0,0,0,0,37,114,107,218,257,292,309,419,466,384,434,420,512,348,326,314,300,269,90,5630,1139.439,755.559,8
"무악재",0,0,0,0,0,62,85,177,314,368,305,329,351,320,294,235,264,269,178,112,72,100,48,29,3912,608.485,313.009,3
"문래",1,0,0,0,2,128,199,315,641,682,722,829,1012,1047,1197,1040,1159,1275,979,556,512,605,586,264,13751,463.701,672.417,2
"문정",24,0,0,0,0,40,75,192,283,283,258,275,274,323,269,294,333,344,298,176,193,182,101,49,4266,1206.363,878.029,8
"미아",0,0,0,0,1,343,512,840,1392,1264,1106,1147,1197,1420,1217,1186,1128,1089,1031,664,500,394,320,147,16898,1012.017,299.428,4
"미아사거리",0,0,0,0,0,468,907,1466,2580,2491,2171,2136,2392,2384,2465,2456,2527,2567,2005,1593,1849,1118,991,483,35049,979.998,299.641,4
"반포",34,0,0,0,0,41,62,84,214,226,239,352,335,348,449,463,514,518,487,396,326,374,432,148,6042,899.452,841.584,7
"발산",42,0,0,0,0,62,141,247,362,384,408,568,763,963,964,999,842,936,849,592,519,598,657,171,11067,240.573,642.882,5
"방배",0,0,0,0,1,111,263,325,549,804,708,811,1032,1065,1160,1074,1274,1236,996,675,612,644,706,281,14327,786.319,905.413,2
"방이",30,0,0,0,0,39,105,167,284,279,324,443,443,516,439,506,439,458,429,274,208,295,278,77,6033,1314.81,804.973,5
"방화",16,0,0,0,0,138,206,313,496,484,521,576,567,482,422,398,429,499,308,173,186,139,104,44,6501,201.505,488.426,5
"버티고개",14,0,0,0,0,24,42,50,104,130,109,146,149,152,151,130,158,162,116,91,58,76,53,21,1936,821.759,597.956,6
"보라매",50,0,0,0,0,174,188,271,534,473,435,484,512,599,549,636,551,578,457,420,320,274,200,98,7803,570.167,768.595,7
"보문",32,0,0,0,0,107,149,247,470,484,514,572,502,439,425,399,449,521,421,242,175,201,180,104,6633,973.489,338.568,6
"복정",24,0,0,0,0,30,90,185,255,280,259,246,306,308,311,344,458,562,458,253,192,160,128,72,4921,1227.969,957.916,8
"봉천",0,0,0,0,1,510,673,939,1655,1755,1426,1395,1484,1484,1359,1287,1410,1471,1097,772,637,564,499,249,20667,633.37,898.432,2
"봉화산",23,0,0,0,0,125,205,330,621,546,540,518,578,554,408,429,500,440,353,231,189,123,134,56,6903,1297.671,331.115,6
"불광",22,0,0,0,0,299,409,754,1296,1280,1261,1318,1498,1714,1734,1904,2036,2103,1650,1186,1032,978,833,265,23572,449.667,313.009,36
"사가정",74,0,0,0,0,273,446,762,1285,1197,959,953,1124,931,769,325,312,345,176,122,102,164,139,57,10515,1193.903,512.938,7
"사당",19,0,0,0,3,798,1238,1762,3182,3789,3789,4144,4446,4923,5129,5110,5467,5151,4640,3870,3699,4342,4846,3031,73378,757.353,910.047,24
"삼각지",40,0,0,0,0,61,113,203,378,411,400,567,834,1174,1204,1253,1235,1374,958,612,449,510,368,190,12334,700.659,626.967,46
"삼성",0,0,0,0,7,271,392,387,542,847,942,2933,2790,3332,4103,4946,5313,6078,4867,3357,3674,4891,5954,857,56483,993.153,868.817,2
"상계",1,0,0,0,1,342,590,1121,1881,1697,1467,1427,1543,1437,1305,1202,1263,1242,908,619,539,447,422,130,19584,1063.813,159.064,4
"상도",54,0,0,0,0,127,232,372,683,731,605,733,695,665,609,601,639,720,567,339,300,305,317,169,9463,638.004,841.584,7
"상봉",104,0,0,0,0,287,451,676,1177,1059,854,929,1029,1096,1035,1033,1162,1354,1143,969,688,799,700,323,16868,1198.538,424.053,7
"상수",270,0,0,0,0,154,164,158,241,230,223,242,384,599,527,496,569,804,689,659,659,847,1110,718,9743,527.319,571.154,6
"상왕십리",0,0,0,0,2,120,214,321,591,588,519,537,587,622,553,519,583,737,536,284,277,255,186,92,8123,979.997,481.135,2
"상월곡",13,0,0,0,0,119,177,302,531,435,418,342,356,396,340,270,293,336,242,175,99,94,62,40,5040,1089.06,331.115,6
"상일동",17,0,0,0,0,179,304,659,946,879,809,846,772,667,669,548,704,725,482,229,175,124,98,26,9858,1357.169,642.678,5
"새절",29,0,0,0,0,221,323,525,877,908,770,822,766,780,660,681,763,781,544,364,277,304,213,83,10691,413.264,405.553,6
"서대문",62,0,0,0,0,93,139,182,393,465,470,607,678,760,831,782,1069,1431,1192,1134,592,647,377,153,12057,632.998,398.965,5
"서울대입구",1,0,0,0,80,848,1009,1498,2636,3034,2792,2935,3129,3550,3399,3198,3839,3986,2989,2175,1794,1685,1863,936,47376,666.998,904.413,2
"서울역",68,0,0,0,54,545,798,1309,2266,3637,3675,5039,6038,5908,5888,7586,7527,7002,5932,5435,3554,3491,3383,1625,80760,696.025,556.367,14
"서초",0,0,0,0,0,60,173,425,504,534,566,732,909,1070,1296,1142,1373,1411,1474,883,739,925,739,223,15178,816.251,905.413,2
"석계",53,0,0,0,0,207,316,635,1071,950,869,918,866,864,741,701,794,816,561,373,317,288,286,155,11781,1147.517,330.408,16
"석촌",42,0,0,0,0,114,171,287,528,537,529,584,628,644,604,589,587,662,533,389,309,304,256,129,8426,1074.151,825.533,8
"선릉",1,0,0,0,7,301,467,497,731,1047,1224,1673,2209,2577,2813,2830,3216,3403,2842,1799,1572,1815,1956,794,33774,961.159,890.754,2
"성수",0,0,0,0,2,185,287,350,656,731,706,745,899,1078,985,1064,1145,1411,1090,707,601,598,549,223,14012,1070.853,569.441,2
"성신여대입구",0,0,0,0,1,168,398,685,1242,1366,1341,1499,1692,1754,1710,1623,1784,2027,1683,1161,1055,1107,1191,487,23974,918.757,301.516,4
"송정",53,0,0,0,0,139,208,385,646,640,810,792,688,704,619,647,800,710,689,434,364,287,329,152,10096,202.414,598.95,5
"송파",19,0,0,0,0,50,83,159,239,250,227,317,348,345,332,375,323,375,316,222,169,145,129,58,4481,1102.893,862.436,8
"수락산",40,0,0,0,0,239,345,720,1069,1020,982,984,1012,1071,991,997,1135,928,778,483,457,384,326,96,14057,990.501,188.219,7
"수서",1,0,0,0,3,115,186,276,495,493,550,584,491,632,640,620,788,989,520,353,247,273,182,55,8493,1146.824,923.031,3
"수유",0,0,0,0,3,634,1132,2041,3435,3043,2709,2821,2978,2755,2512,2496,2695,2935,2474,1550,1361,1312,1341,643,40870,1044.615,285.471,4
"숙대입구",0,0,0,0,0,114,258,335,594,656,580,751,915,985,1018,1094,1135,1253,1307,769,641,565,555,367,13892,700.66,587.402,4
"숭실대입구",75,0,0,0,0,150,264,523,805,815,800,800,887,877,829,839,864,885,709,478,409,322,403,269,12003,681.472,841.584,7
"시청",19,0,0,0,2,125,215,235,376,580,782,1249,1805,2229,3018,4630,7215,11474,6959,5736,4503,3186,2090,923,57351,686.756,451.869,12
"신금호",15,0,0,0,0,60,112,191,367,379,322,333,372,321,304,261,254,373,271,183,126,165,156,77,4642,951.5,509.412,5
"신길",18,0,0,0,0,52,59,55,128,147,140,151,176,106,150,124,158,176,139,96,65,71,67,48,2126,526.379,707.426,15
"신답",0,0,0,0,0,40,29,63,102,90,74,83,87,65,71,66,89,97,49,35,33,17,12,5,1107,1070.853,476.501,2
"신당",59,0,0,0,3,447,449,522,809,927,900,1130,1240,1374,1561,1449,1621,2089,1979,1177,987,952,1122,351,21148,944.71,459.676,26
"신대방",0,0,0,0,4,627,774,1145,2077,2271,1626,1609,1568,1543,1354,1310,1462,1583,1175,713,623,517,492,223,22696,526.181,835.956,2
"신대방삼거리",70,0,0,0,0,301,354,639,1128,1048,841,853,919,922,797,794,826,974,700,463,420,421,349,166,12985,598.499,790.883,7
"신도림",2,0,0,0,71,1250,1158,1580,2640,2914,2682,3043,3663,4285,4792,4970,5032,5522,4834,3488,3058,3560,3691,1247,63482,470.729,707.018,12
"신림",1,0,0,0,14,1355,2019,2875,4741,5012,3846,4204,4263,4386,4330,4052,4449,5053,3902,3119,2772,2731,2993,1644,67761,560.389,864.359,2
"신사",0,0,0,0,7,274,310,363,470,589,757,1051,1712,1966,2476,2988,3432,3751,2915,2387,2169,2445,2956,1320,34338,888.606,742.598,3
"신설동",7,0,0,0,5,170,221,421,559,623,788,933,1273,1291,1402,1488,1650,1842,2150,818,590,514,395,173,17313,993.316,384.015,12
"신용산",0,0,0,0,0,33,100,133,266,370,389,559,569,683,868,1075,1039,1314,1267,728,621,591,506,222,11333,729.006,661.515,4
"신정",13,0,0,0,0,248,407,746,1163,1052,864,883,875,806,735,686,747,747,549,303,225,244,166,76,11535,367.659,645.691,5
"신정네거리",0,0,0,0,3,270,283,554,793,778,674,718,700,684,679,544,639,693,466,318,252,219,221,91,9579,357.372,681.369,2
