2013-01-01,공,1,2,0,3|8,가락시장,00,79,233
2013-01-02,수,0,3,1,3|8,가락시장,00,21,182
2013-01-03,목,0,4,1,3|8,가락시장,00,64,190
2013-01-04,금,0,5,1,3|8,가락시장,00,71,261
2013-01-05,토,0,6,0,3|8,가락시장,00,55,154
2013-01-06,일,0,0,0,3|8,가락시장,00,0,141
2013-01-07,월,0,1,1,3|8,가락시장,00,15,190
2013-01-08,화,0,2,1,3|8,가락시장,00,74,214
2013-01-09,수,0,3,1,3|8,가락시장,00,78,189
2013-01-10,목,0,4,1,3|8,가락시장,00,65,205
2013-01-11,금,0,5,1,3|8,가락시장,00,76,263
2013-01-12,토,0,6,0,3|8,가락시장,00,56,185
2013-01-13,일,0,0,0,3|8,가락시장,00,4,112
2013-01-14,월,0,1,1,3|8,가락시장,00,31,169
2013-01-15,화,0,2,1,3|8,가락시장,00,67,218
2013-01-16,수,0,3,1,3|8,가락시장,00,71,205
2013-01-17,목,0,4,1,3|8,가락시장,00,72,226
2013-01-18,금,0,5,1,3|8,가락시장,00,67,269
2013-01-19,토,0,6,0,3|8,가락시장,00,53,174
2013-01-20,일,0,0,0,3|8,가락시장,00,1,188
2013-01-21,월,0,1,1,3|8,가락시장,00,15,181
2013-01-22,화,0,2,1,3|8,가락시장,00,79,234
2013-01-23,수,0,3,1,3|8,가락시장,00,64,243
2013-01-24,목,0,4,1,3|8,가락시장,00,60,217
2013-01-25,금,0,5,1,3|8,가락시장,00,59,266
2013-01-26,토,0,6,0,3|8,가락시장,00,48,156
2013-01-27,일,0,0,0,3|8,가락시장,00,1,129
2013-01-28,월,0,1,1,3|8,가락시장,00,25,181
2013-01-29,화,0,2,1,3|8,가락시장,00,78,224
2013-01-30,수,0,3,1,3|8,가락시장,00,65,244
2013-01-31,목,0,4,1,3|8,가락시장,00,82,240
2013-02-01,금,0,5,1,3|8,가락시장,00,83,259
2013-02-02,토,0,6,0,3|8,가락시장,00,57,139
2013-02-03,일,0,0,0,3|8,가락시장,00,1,108
2013-02-04,월,0,1,1,3|8,가락시장,00,24,260
2013-02-05,화,0,2,1,3|8,가락시장,00,73,256
2013-02-06,수,0,3,1,3|8,가락시장,00,81,270
2013-02-07,목,0,4,1,3|8,가락시장,00,62,243
2013-02-08,금,0,5,1,3|8,가락시장,00,56,215
2013-02-09,공,1,6,0,3|8,가락시장,00,39,102
2013-02-10,공,1,0,0,3|8,가락시장,00,11,103
2013-02-11,공,1,1,0,3|8,가락시장,00,23,78
2013-02-12,화,0,2,1,3|8,가락시장,00,35,147
2013-02-13,수,0,3,1,3|8,가락시장,00,61,205
2013-02-14,목,0,4,1,3|8,가락시장,00,64,225
2013-02-15,금,0,5,1,3|8,가락시장,00,79,240
2013-02-16,토,0,6,0,3|8,가락시장,00,43,181
2013-02-17,일,0,0,0,3|8,가락시장,00,0,178
2013-02-18,월,0,1,1,3|8,가락시장,00,21,204
2013-02-19,화,0,2,1,3|8,가락시장,00,60,218
2013-02-20,수,0,3,1,3|8,가락시장,00,68,236
2013-02-21,목,0,4,1,3|8,가락시장,00,75,209
