2013-01-01,공,1,2,0,2|7,건대입구,00,367,715
2013-01-02,수,0,3,1,2|7,건대입구,00,369,597
2013-01-03,목,0,4,1,2|7,건대입구,00,517,725
2013-01-04,금,0,5,1,2|7,건대입구,00,855,1108
2013-01-05,토,0,6,0,2|7,건대입구,00,260,440
2013-01-06,일,0,0,0,2|7,건대입구,00,2,314
2013-01-07,월,0,1,1,2|7,건대입구,00,385,704
2013-01-08,화,0,2,1,2|7,건대입구,00,508,752
2013-01-09,수,0,3,1,2|7,건대입구,00,568,778
2013-01-10,목,0,4,1,2|7,건대입구,00,523,902
2013-01-11,금,0,5,1,2|7,건대입구,00,917,1237
2013-01-12,토,0,6,0,2|7,건대입구,00,271,538
2013-01-13,일,0,0,0,2|7,건대입구,00,1,259
2013-01-14,월,0,1,1,2|7,건대입구,00,348,657
2013-01-15,화,0,2,1,2|7,건대입구,00,543,826
2013-01-16,수,0,3,1,2|7,건대입구,00,593,832
2013-01-17,목,0,4,1,2|7,건대입구,00,633,819
2013-01-18,금,0,5,1,2|7,건대입구,00,990,1202
2013-01-19,토,0,6,0,2|7,건대입구,00,267,556
2013-01-20,일,0,0,0,2|7,건대입구,00,0,324
2013-01-21,월,0,1,1,2|7,건대입구,00,357,552
2013-01-22,화,0,2,1,2|7,건대입구,00,590,740
2013-01-23,수,0,3,1,2|7,건대입구,00,569,899
2013-01-24,목,0,4,1,2|7,건대입구,00,523,879
2013-01-25,금,0,5,1,2|7,건대입구,00,891,1177
2013-01-26,토,0,6,0,2|7,건대입구,00,210,526
2013-01-27,일,0,0,0,2|7,건대입구,00,1,280
2013-01-28,월,0,1,1,2|7,건대입구,00,395,611
2013-01-29,화,0,2,1,2|7,건대입구,00,594,816
2013-01-30,수,0,3,1,2|7,건대입구,00,583,874
2013-01-31,목,0,4,1,2|7,건대입구,00,675,1045
2013-02-01,금,0,5,1,2|7,건대입구,00,878,1226
2013-02-02,토,0,6,0,2|7,건대입구,00,290,482
2013-02-03,일,0,0,0,2|7,건대입구,00,3,380
2013-02-04,월,0,1,1,2|7,건대입구,00,399,839
2013-02-05,화,0,2,1,2|7,건대입구,00,656,896
2013-02-06,수,0,3,1,2|7,건대입구,00,666,992
2013-02-07,목,0,4,1,2|7,건대입구,00,590,954
2013-02-08,금,0,5,1,2|7,건대입구,00,607,827
2013-02-09,공,1,6,0,2|7,건대입구,00,157,278
2013-02-10,공,1,0,0,2|7,건대입구,00,221,356
2013-02-11,공,1,1,0,2|7,건대입구,00,396,492
2013-02-12,화,0,2,1,2|7,건대입구,00,515,604
2013-02-13,수,0,3,1,2|7,건대입구,00,623,847
2013-02-14,목,0,4,1,2|7,건대입구,00,697,1043
2013-02-15,금,0,5,1,2|7,건대입구,00,1087,1337
2013-02-16,토,0,6,0,2|7,건대입구,00,267,506
2013-02-17,일,0,0,0,2|7,건대입구,00,0,318
2013-02-18,월,0,1,1,2|7,건대입구,00,427,686
2013-02-19,화,0,2,1,2|7,건대입구,00,602,785
2013-02-20,수,0,3,1,2|7,건대입구,00,751,766
2013-02-21,목,0,4,1,2|7,건대입구,00,675,943
2013-02-22,금,0,5,1,2|7,건대입구,00,1000,1407
2013-02-23,토,0,6,0,2|7,건대입구,00,284,535
2013-02-24,일,0,0,0,2|7,건대입구,00,2,203
2013-02-25,월,0,1,1,2|7,건대입구,00,409,790
2013-02-26,화,0,2,1,2|7,건대입구,00,680,848
2013-02-27,수,0,3,1,2|7,건대입구,00,681,966
2013-02-28,목,0,4,1,2|7,건대입구,00,1108,1505
2013-03-01,공,1,5,0,2|7,건대입구,00,301,738
2013-03-02,토,0,6,0,2|7,건대입구,00,1,526
2013-03-03,일,0,0,0,2|7,건대입구,00,1,442
2013-03-04,월,0,1,1,2|7,건대입구,00,382,734
2013-03-05,화,0,2,1,2|7,건대입구,00,553,887
2013-03-06,수,0,3,1,2|7,건대입구,00,557,942
2013-03-07,목,0,4,1,2|7,건대입구,00,675,860
2013-03-08,금,0,5,1,2|7,건대입구,00,1064,1418
2013-03-09,토,0,6,0,2|7,건대입구,00,298,600
2013-03-10,일,0,0,0,2|7,건대입구,00,1,337
2013-03-11,월,0,1,1,2|7,건대입구,00,386,713
2013-03-12,화,0,2,1,2|7,건대입구,00,565,750
2013-03-13,수,0,3,1,2|7,건대입구,00,580,903
2013-03-14,목,0,4,1,2|7,건대입구,00,676,1065
2013-03-15,금,0,5,1,2|7,건대입구,00,980,1421
2013-03-16,토,0,6,0,2|7,건대입구,00,282,629
2013-03-17,일,0,0,0,2|7,건대입구,00,8,273
2013-03-18,월,0,1,1,2|7,건대입구,00,380,714
2013-03-19,화,0,2,1,2|7,건대입구,00,597,808
2013-03-20,수,0,3,1,2|7,건대입구,00,559,853
2013-03-21,목,0,4,1,2|7,건대입구,00,670,920
2013-03-22,금,0,5,1,2|7,건대입구,00,1007,1554
2013-03-23,토,0,6,0,2|7,건대입구,00,249,608
2013-03-24,일,0,0,0,2|7,건대입구,00,0,415
2013-03-25,월,0,1,1,2|7,건대입구,00,439,754
2013-03-26,화,0,2,1,2|7,건대입구,00,584,873
2013-03-27,수,0,3,1,2|7,건대입구,00,673,934
2013-03-28,목,0,4,1,2|7,건대입구,00,710,1057
2013-03-29,금,0,5,1,2|7,건대입구,00,1050,1389
2013-03-30,토,0,6,0,2|7,건대입구,00,301,711
2013-03-31,일,0,0,0,2|7,건대입구,00,3,277
2013-04-01,월,0,1,1,2|7,건대입구,00,395,809
2013-04-02,화,0,2,1,2|7,건대입구,00,592,847
2013-04-03,수,0,3,1,2|7,건대입구,00,708,923
2013-04-04,목,0,4,1,2|7,건대입구,00,814,1094
2013-04-05,금,0,5,1,2|7,건대입구,00,1178,1766
2013-04-06,토,0,6,0,2|7,건대입구,00,354,874
2013-04-07,일,0,0,0,2|7,건대입구,00,0,374
2013-04-08,월,0,1,1,2|7,건대입구,00,383,740
2013-04-09,화,0,2,1,2|7,건대입구,00,536,806
2013-04-10,수,0,3,1,2|7,건대입구,00,571,789
2013-04-11,목,0,4,1,2|7,건대입구,00,679,997
2013-04-12,금,0,5,1,2|7,건대입구,00,1041,1427
2013-04-13,토,0,6,0,2|7,건대입구,00,248,670
2013-04-14,일,0,0,0,2|7,건대입구,00,1,361
2013-04-15,월,0,1,1,2|7,건대입구,00,331,891
2013-04-16,화,0,2,1,2|7,건대입구,00,571,917
2013-04-17,수,0,3,1,2|7,건대입구,00,603,926
2013-04-18,목,0,4,1,2|7,건대입구,00,668,988
2013-04-19,금,0,5,1,2|7,건대입구,00,935,1494
2013-04-20,토,0,6,0,2|7,건대입구,00,288,532
2013-04-21,일,0,0,0,2|7,건대입구,00,2,319
2013-04-22,월,0,1,1,2|7,건대입구,00,355,645
2013-04-23,화,0,2,1,2|7,건대입구,00,519,893
2013-04-24,수,0,3,1,2|7,건대입구,00,605,901
