2013-01-01,공,1,2,0,3|7,고속터미널,00,138,179
2013-01-02,수,0,3,1,3|7,고속터미널,00,140,149
2013-01-03,목,0,4,1,3|7,고속터미널,00,171,186
2013-01-04,금,0,5,1,3|7,고속터미널,00,337,334
2013-01-05,토,0,6,0,3|7,고속터미널,00,101,112
2013-01-06,일,0,0,0,3|7,고속터미널,00,0,17
2013-01-07,월,0,1,1,3|7,고속터미널,00,131,147
2013-01-08,화,0,2,1,3|7,고속터미널,00,187,209
2013-01-09,수,0,3,1,3|7,고속터미널,00,233,218
2013-01-10,목,0,4,1,3|7,고속터미널,00,254,232
2013-01-11,금,0,5,1,3|7,고속터미널,00,348,357
2013-01-12,토,0,6,0,3|7,고속터미널,00,111,122
2013-01-13,일,0,0,0,3|7,고속터미널,00,0,19
2013-01-14,월,0,1,1,3|7,고속터미널,00,127,173
2013-01-15,화,0,2,1,3|7,고속터미널,00,234,233
2013-01-16,수,0,3,1,3|7,고속터미널,00,196,215
2013-01-17,목,0,4,1,3|7,고속터미널,00,293,252
2013-01-18,금,0,5,1,3|7,고속터미널,00,322,419
2013-01-19,토,0,6,0,3|7,고속터미널,00,103,121
2013-01-20,일,0,0,0,3|7,고속터미널,00,3,36
2013-01-21,월,0,1,1,3|7,고속터미널,00,115,145
2013-01-22,화,0,2,1,3|7,고속터미널,00,195,222
2013-01-23,수,0,3,1,3|7,고속터미널,00,224,227
2013-01-24,목,0,4,1,3|7,고속터미널,00,245,271
2013-01-25,금,0,5,1,3|7,고속터미널,00,364,472
2013-01-26,토,0,6,0,3|7,고속터미널,00,80,145
2013-01-27,일,0,0,0,3|7,고속터미널,00,0,21
2013-01-28,월,0,1,1,3|7,고속터미널,00,153,176
2013-01-29,화,0,2,1,3|7,고속터미널,00,180,234
2013-01-30,수,0,3,1,3|7,고속터미널,00,244,221
2013-01-31,목,0,4,1,3|7,고속터미널,00,234,277
2013-02-01,금,0,5,1,3|7,고속터미널,00,297,371
2013-02-02,토,0,6,0,3|7,고속터미널,00,111,100
2013-02-03,일,0,0,0,3|7,고속터미널,00,0,46
2013-02-04,월,0,1,1,3|7,고속터미널,00,144,208
2013-02-05,화,0,2,1,3|7,고속터미널,00,259,311
2013-02-06,수,0,3,1,3|7,고속터미널,00,230,287
2013-02-07,목,0,4,1,3|7,고속터미널,00,424,445
2013-02-08,금,0,5,1,3|7,고속터미널,00,426,717
2013-02-09,공,1,6,0,3|7,고속터미널,00,122,147
2013-02-10,공,1,0,0,3|7,고속터미널,00,209,60
2013-02-11,공,1,1,0,3|7,고속터미널,00,612,116
2013-02-12,화,0,2,1,3|7,고속터미널,00,461,181
2013-02-13,수,0,3,1,3|7,고속터미널,00,202,259
2013-02-14,목,0,4,1,3|7,고속터미널,00,276,281
2013-02-15,금,0,5,1,3|7,고속터미널,00,334,376
2013-02-16,토,0,6,0,3|7,고속터미널,00,98,110
2013-02-17,일,0,0,0,3|7,고속터미널,00,0,32
2013-02-18,월,0,1,1,3|7,고속터미널,00,133,167
2013-02-19,화,0,2,1,3|7,고속터미널,00,212,228
2013-02-20,수,0,3,1,3|7,고속터미널,00,302,269
2013-02-21,목,0,4,1,3|7,고속터미널,00,263,271
2013-02-22,금,0,5,1,3|7,고속터미널,00,357,371
2013-02-23,토,0,6,0,3|7,고속터미널,00,78,119
2013-02-24,일,0,0,0,3|7,고속터미널,00,1,51
2013-02-25,월,0,1,1,3|7,고속터미널,00,156,193
2013-02-26,화,0,2,1,3|7,고속터미널,00,196,234
2013-02-27,수,0,3,1,3|7,고속터미널,00,268,265
2013-02-28,목,0,4,1,3|7,고속터미널,00,623,592
2013-03-01,공,1,5,0,3|7,고속터미널,00,214,163
2013-03-02,토,0,6,0,3|7,고속터미널,00,0,48
2013-03-03,일,0,0,0,3|7,고속터미널,00,0,29
2013-03-04,월,0,1,1,3|7,고속터미널,00,132,173
2013-03-05,화,0,2,1,3|7,고속터미널,00,186,229
2013-03-06,수,0,3,1,3|7,고속터미널,00,196,259
2013-03-07,목,0,4,1,3|7,고속터미널,00,273,233
