2013-01-01,공,1,2,0,4|7,노원,00,319,682
2013-01-02,수,0,3,1,4|7,노원,00,109,562
2013-01-03,목,0,4,1,4|7,노원,00,216,776
2013-01-04,금,0,5,1,4|7,노원,00,280,1122
2013-01-05,토,0,6,0,4|7,노원,00,155,555
2013-01-06,일,0,0,0,4|7,노원,00,25,280
2013-01-07,월,0,1,1,4|7,노원,00,104,611
2013-01-08,화,0,2,1,4|7,노원,00,218,812
2013-01-09,수,0,3,1,4|7,노원,00,219,699
2013-01-10,목,0,4,1,4|7,노원,00,191,834
2013-01-11,금,0,5,1,4|7,노원,00,285,1075
2013-01-12,토,0,6,0,4|7,노원,00,185,738
2013-01-13,일,0,0,0,4|7,노원,00,3,198
2013-01-14,월,0,1,1,4|7,노원,00,92,513
2013-01-15,화,0,2,1,4|7,노원,00,198,751
2013-01-16,수,0,3,1,4|7,노원,00,204,841
2013-01-17,목,0,4,1,4|7,노원,00,232,901
2013-01-18,금,0,5,1,4|7,노원,00,306,1048
2013-01-19,토,0,6,0,4|7,노원,00,147,646
2013-01-20,일,0,0,0,4|7,노원,00,6,200
2013-01-21,월,0,1,1,4|7,노원,00,104,533
2013-01-22,화,0,2,1,4|7,노원,00,166,823
2013-01-23,수,0,3,1,4|7,노원,00,246,826
2013-01-24,목,0,4,1,4|7,노원,00,262,855
2013-01-25,금,0,5,1,4|7,노원,00,280,1031
2013-01-26,토,0,6,0,4|7,노원,00,156,556
2013-01-27,일,0,0,0,4|7,노원,00,2,194
2013-01-28,월,0,1,1,4|7,노원,00,89,518
2013-01-29,화,0,2,1,4|7,노원,00,231,801
2013-01-30,수,0,3,1,4|7,노원,00,181,868
2013-01-31,목,0,4,1,4|7,노원,00,231,963
2013-02-01,금,0,5,1,4|7,노원,00,287,1088
2013-02-02,토,0,6,0,4|7,노원,00,174,570
2013-02-03,일,0,0,0,4|7,노원,00,12,312
2013-02-04,월,0,1,1,4|7,노원,00,105,643
2013-02-05,화,0,2,1,4|7,노원,00,239,867
2013-02-06,수,0,3,1,4|7,노원,00,241,894
2013-02-07,목,0,4,1,4|7,노원,00,268,1010
2013-02-08,금,0,5,1,4|7,노원,00,264,863
2013-02-09,공,1,6,0,4|7,노원,00,110,335
2013-02-10,공,1,0,0,4|7,노원,00,105,292
2013-02-11,공,1,1,0,4|7,노원,00,197,425
2013-02-12,화,0,2,1,4|7,노원,00,250,671
2013-02-13,수,0,3,1,4|7,노원,00,238,862
2013-02-14,목,0,4,1,4|7,노원,00,229,982
2013-02-15,금,0,5,1,4|7,노원,00,359,1118
2013-02-16,토,0,6,0,4|7,노원,00,173,648
