2013-01-01,공,1,2,0,2|7,대림,00,164,281
2013-01-02,수,0,3,1,2|7,대림,00,66,385
2013-01-03,목,0,4,1,2|7,대림,00,100,511
2013-01-04,금,0,5,1,2|7,대림,00,133,672
2013-01-05,토,0,6,0,2|7,대림,00,44,308
2013-01-06,일,0,0,0,2|7,대림,00,0,67
2013-01-07,월,0,1,1,2|7,대림,00,64,422
2013-01-08,화,0,2,1,2|7,대림,00,98,512
2013-01-09,수,0,3,1,2|7,대림,00,114,531
2013-01-10,목,0,4,1,2|7,대림,00,109,553
2013-01-11,금,0,5,1,2|7,대림,00,139,744
2013-01-12,토,0,6,0,2|7,대림,00,39,311
2013-01-13,일,0,0,0,2|7,대림,00,1,49
2013-01-14,월,0,1,1,2|7,대림,00,81,419
2013-01-15,화,0,2,1,2|7,대림,00,99,512
2013-01-16,수,0,3,1,2|7,대림,00,100,529
2013-01-17,목,0,4,1,2|7,대림,00,124,715
2013-01-18,금,0,5,1,2|7,대림,00,117,721
2013-01-19,토,0,6,0,2|7,대림,00,42,335
2013-01-20,일,0,0,0,2|7,대림,00,1,44
2013-01-21,월,0,1,1,2|7,대림,00,85,380
2013-01-22,화,0,2,1,2|7,대림,00,94,517
2013-01-23,수,0,3,1,2|7,대림,00,95,591
2013-01-24,목,0,4,1,2|7,대림,00,94,609
2013-01-25,금,0,5,1,2|7,대림,00,118,702
2013-01-26,토,0,6,0,2|7,대림,00,29,260
2013-01-27,일,0,0,0,2|7,대림,00,0,55
2013-01-28,월,0,1,1,2|7,대림,00,62,385
2013-01-29,화,0,2,1,2|7,대림,00,101,575
2013-01-30,수,0,3,1,2|7,대림,00,83,625
2013-01-31,목,0,4,1,2|7,대림,00,130,635
2013-02-01,금,0,5,1,2|7,대림,00,133,754
2013-02-02,토,0,6,0,2|7,대림,00,45,166
2013-02-03,일,0,0,0,2|7,대림,00,6,74
2013-02-04,월,0,1,1,2|7,대림,00,90,459
2013-02-05,화,0,2,1,2|7,대림,00,124,665
2013-02-06,수,0,3,1,2|7,대림,00,127,602
2013-02-07,목,0,4,1,2|7,대림,00,108,625
2013-02-08,금,0,5,1,2|7,대림,00,120,527
2013-02-09,공,1,6,0,2|7,대림,00,38,172
2013-02-10,공,1,0,0,2|7,대림,00,116,160
2013-02-11,공,1,1,0,2|7,대림,00,157,354
2013-02-12,화,0,2,1,2|7,대림,00,128,478
2013-02-13,수,0,3,1,2|7,대림,00,121,611
2013-02-14,목,0,4,1,2|7,대림,00,121,686
2013-02-15,금,0,5,1,2|7,대림,00,137,846
2013-02-16,토,0,6,0,2|7,대림,00,49,352
2013-02-17,일,0,0,0,2|7,대림,00,2,74
2013-02-18,월,0,1,1,2|7,대림,00,80,414
