2013-01-01,공,1,2,0,1|4,동대문,00,3,128
2013-01-02,수,0,3,1,1|4,동대문,00,120,239
2013-01-03,목,0,4,1,1|4,동대문,00,120,260
2013-01-04,금,0,5,1,1|4,동대문,00,171,338
2013-01-05,토,0,6,0,1|4,동대문,00,20,189
2013-01-06,일,0,0,0,1|4,동대문,00,8,105
2013-01-07,월,0,1,1,1|4,동대문,00,112,251
2013-01-08,화,0,2,1,1|4,동대문,00,117,217
2013-01-09,수,0,3,1,1|4,동대문,00,102,215
2013-01-10,목,0,4,1,1|4,동대문,00,108,279
2013-01-11,금,0,5,1,1|4,동대문,00,179,411
2013-01-12,토,0,6,0,1|4,동대문,00,9,181
2013-01-13,일,0,0,0,1|4,동대문,00,3,108
2013-01-14,월,0,1,1,1|4,동대문,00,112,218
2013-01-15,화,0,2,1,1|4,동대문,00,120,256
2013-01-16,수,0,3,1,1|4,동대문,00,127,239
2013-01-17,목,0,4,1,1|4,동대문,00,152,247
2013-01-18,금,0,5,1,1|4,동대문,00,180,358
2013-01-19,토,0,6,0,1|4,동대문,00,8,150
2013-01-20,일,0,0,0,1|4,동대문,00,1,146
2013-01-21,월,0,1,1,1|4,동대문,00,109,226
2013-01-22,화,0,2,1,1|4,동대문,00,125,289
2013-01-23,수,0,3,1,1|4,동대문,00,116,261
2013-01-24,목,0,4,1,1|4,동대문,00,110,268
2013-01-25,금,0,5,1,1|4,동대문,00,165,438
2013-01-26,토,0,6,0,1|4,동대문,00,19,219
2013-01-27,일,0,0,0,1|4,동대문,00,2,113
2013-01-28,월,0,1,1,1|4,동대문,00,123,245
2013-01-29,화,0,2,1,1|4,동대문,00,140,258
2013-01-30,수,0,3,1,1|4,동대문,00,151,249
2013-01-31,목,0,4,1,1|4,동대문,00,153,353
2013-02-01,금,0,5,1,1|4,동대문,00,146,386
2013-02-02,토,0,6,0,1|4,동대문,00,15,170
2013-02-03,일,0,0,0,1|4,동대문,00,16,159
2013-02-04,월,0,1,1,1|4,동대문,00,137,312
2013-02-05,화,0,2,1,1|4,동대문,00,140,305
2013-02-06,수,0,3,1,1|4,동대문,00,145,240
2013-02-07,목,0,4,1,1|4,동대문,00,120,245
2013-02-08,금,0,5,1,1|4,동대문,00,67,207
2013-02-09,공,1,6,0,1|4,동대문,00,9,97
2013-02-10,공,1,0,0,1|4,동대문,00,48,100
2013-02-11,공,1,1,0,1|4,동대문,00,54,123
2013-02-12,화,0,2,1,1|4,동대문,00,113,190
2013-02-13,수,0,3,1,1|4,동대문,00,150,289
2013-02-14,목,0,4,1,1|4,동대문,00,157,316
2013-02-15,금,0,5,1,1|4,동대문,00,182,366
2013-02-16,토,0,6,0,1|4,동대문,00,12,240
2013-02-17,일,0,0,0,1|4,동대문,00,4,161
2013-02-18,월,0,1,1,1|4,동대문,00,129,285
2013-02-19,화,0,2,1,1|4,동대문,00,133,263
2013-02-20,수,0,3,1,1|4,동대문,00,140,286
2013-02-21,목,0,4,1,1|4,동대문,00,141,318
2013-02-22,금,0,5,1,1|4,동대문,00,175,385
