2013-01-01,공,1,2,0,1|6,동묘앞,00,104,413
2013-01-02,수,0,3,1,1|6,동묘앞,00,11,123
2013-01-03,목,0,4,1,1|6,동묘앞,00,25,194
2013-01-04,금,0,5,1,1|6,동묘앞,00,33,221
2013-01-05,토,0,6,0,1|6,동묘앞,00,27,308
2013-01-06,일,0,0,0,1|6,동묘앞,00,8,176
2013-01-07,월,0,1,1,1|6,동묘앞,00,16,144
2013-01-08,화,0,2,1,1|6,동묘앞,00,40,165
2013-01-09,수,0,3,1,1|6,동묘앞,00,46,153
2013-01-10,목,0,4,1,1|6,동묘앞,00,44,196
2013-01-11,금,0,5,1,1|6,동묘앞,00,47,229
2013-01-12,토,0,6,0,1|6,동묘앞,00,28,279
2013-01-13,일,0,0,0,1|6,동묘앞,00,4,164
2013-01-14,월,0,1,1,1|6,동묘앞,00,13,151
2013-01-15,화,0,2,1,1|6,동묘앞,00,41,163
2013-01-16,수,0,3,1,1|6,동묘앞,00,36,200
2013-01-17,목,0,4,1,1|6,동묘앞,00,34,181
2013-01-18,금,0,5,1,1|6,동묘앞,00,64,216
2013-01-19,토,0,6,0,1|6,동묘앞,00,26,278
2013-01-20,일,0,0,0,1|6,동묘앞,00,4,183
2013-01-21,월,0,1,1,1|6,동묘앞,00,17,148
2013-01-22,화,0,2,1,1|6,동묘앞,00,30,167
2013-01-23,수,0,3,1,1|6,동묘앞,00,42,182
2013-01-24,목,0,4,1,1|6,동묘앞,00,43,176
2013-01-25,금,0,5,1,1|6,동묘앞,00,37,235
2013-01-26,토,0,6,0,1|6,동묘앞,00,29,276
2013-01-27,일,0,0,0,1|6,동묘앞,00,2,184
2013-01-28,월,0,1,1,1|6,동묘앞,00,21,152
2013-01-29,화,0,2,1,1|6,동묘앞,00,39,205
2013-01-30,수,0,3,1,1|6,동묘앞,00,36,184
2013-01-31,목,0,4,1,1|6,동묘앞,00,39,210
2013-02-01,금,0,5,1,1|6,동묘앞,00,51,216
2013-02-02,토,0,6,0,1|6,동묘앞,00,40,227
2013-02-03,일,0,0,0,1|6,동묘앞,00,9,170
2013-02-04,월,0,1,1,1|6,동묘앞,00,20,189
2013-02-05,화,0,2,1,1|6,동묘앞,00,58,165
2013-02-06,수,0,3,1,1|6,동묘앞,00,45,213
2013-02-07,목,0,4,1,1|6,동묘앞,00,39,200
2013-02-08,금,0,5,1,1|6,동묘앞,00,33,197
2013-02-09,공,1,6,0,1|6,동묘앞,00,19,146
2013-02-10,공,1,0,0,1|6,동묘앞,00,11,84
2013-02-11,공,1,1,0,1|6,동묘앞,00,32,119
2013-02-12,화,0,2,1,1|6,동묘앞,00,28,140
2013-02-13,수,0,3,1,1|6,동묘앞,00,29,166
2013-02-14,목,0,4,1,1|6,동묘앞,00,37,167
2013-02-15,금,0,5,1,1|6,동묘앞,00,50,258
2013-02-16,토,0,6,0,1|6,동묘앞,00,34,315
2013-02-17,일,0,0,0,1|6,동묘앞,00,5,173
2013-02-18,월,0,1,1,1|6,동묘앞,00,24,172
2013-02-19,화,0,2,1,1|6,동묘앞,00,61,145
2013-02-20,수,0,3,1,1|6,동묘앞,00,65,185
2013-02-21,목,0,4,1,1|6,동묘앞,00,49,209
2013-02-22,금,0,5,1,1|6,동묘앞,00,66,254
2013-02-23,토,0,6,0,1|6,동묘앞,00,56,329
2013-02-24,일,0,0,0,1|6,동묘앞,00,3,195
2013-02-25,월,0,1,1,1|6,동묘앞,00,16,172
2013-02-26,화,0,2,1,1|6,동묘앞,00,53,195
2013-02-27,수,0,3,1,1|6,동묘앞,00,57,236
2013-02-28,목,0,4,1,1|6,동묘앞,00,63,288
2013-03-01,공,1,5,0,1|6,동묘앞,00,55,315
2013-03-02,토,0,6,0,1|6,동묘앞,00,11,257
2013-03-03,일,0,0,0,1|6,동묘앞,00,3,197
2013-03-04,월,0,1,1,1|6,동묘앞,00,17,146
2013-03-05,화,0,2,1,1|6,동묘앞,00,57,175
2013-03-06,수,0,3,1,1|6,동묘앞,00,42,187
2013-03-07,목,0,4,1,1|6,동묘앞,00,43,205
2013-03-08,금,0,5,1,1|6,동묘앞,00,68,228
2013-03-09,토,0,6,0,1|6,동묘앞,00,65,376
2013-03-10,일,0,0,0,1|6,동묘앞,00,1,194
2013-03-11,월,0,1,1,1|6,동묘앞,00,20,178
2013-03-12,화,0,2,1,1|6,동묘앞,00,59,199
2013-03-13,수,0,3,1,1|6,동묘앞,00,58,221
2013-03-14,목,0,4,1,1|6,동묘앞,00,59,217
2013-03-15,금,0,5,1,1|6,동묘앞,00,50,284
2013-03-16,토,0,6,0,1|6,동묘앞,00,61,310
2013-03-17,일,0,0,0,1|6,동묘앞,00,5,176
2013-03-18,월,0,1,1,1|6,동묘앞,00,27,150
2013-03-19,화,0,2,1,1|6,동묘앞,00,52,172
2013-03-20,수,0,3,1,1|6,동묘앞,00,62,205
2013-03-21,목,0,4,1,1|6,동묘앞,00,70,210
2013-03-22,금,0,5,1,1|6,동묘앞,00,53,270
2013-03-23,토,0,6,0,1|6,동묘앞,00,60,398
2013-03-24,일,0,0,0,1|6,동묘앞,00,6,185
2013-03-25,월,0,1,1,1|6,동묘앞,00,15,162
2013-03-26,화,0,2,1,1|6,동묘앞,00,60,165
2013-03-27,수,0,3,1,1|6,동묘앞,00,51,186
2013-03-28,목,0,4,1,1|6,동묘앞,00,48,211
2013-03-29,금,0,5,1,1|6,동묘앞,00,57,267
2013-03-30,토,0,6,0,1|6,동묘앞,00,63,319
2013-03-31,일,0,0,0,1|6,동묘앞,00,3,185
2013-04-01,월,0,1,1,1|6,동묘앞,00,19,199
2013-04-02,화,0,2,1,1|6,동묘앞,00,54,190
2013-04-03,수,0,3,1,1|6,동묘앞,00,50,224
2013-04-04,목,0,4,1,1|6,동묘앞,00,59,235
2013-04-05,금,0,5,1,1|6,동묘앞,00,53,307
2013-04-06,토,0,6,0,1|6,동묘앞,00,37,271
2013-04-07,일,0,0,0,1|6,동묘앞,00,2,203
2013-04-08,월,0,1,1,1|6,동묘앞,00,13,132
2013-04-09,화,0,2,1,1|6,동묘앞,00,40,170
2013-04-10,수,0,3,1,1|6,동묘앞,00,57,173
2013-04-11,목,0,4,1,1|6,동묘앞,00,42,188
2013-04-12,금,0,5,1,1|6,동묘앞,00,61,258
2013-04-13,토,0,6,0,1|6,동묘앞,00,42,353
2013-04-14,일,0,0,0,1|6,동묘앞,00,9,212
2013-04-15,월,0,1,1,1|6,동묘앞,00,23,146
2013-04-16,화,0,2,1,1|6,동묘앞,00,40,193
2013-04-17,수,0,3,1,1|6,동묘앞,00,58,208
2013-04-18,목,0,4,1,1|6,동묘앞,00,64,235
2013-04-19,금,0,5,1,1|6,동묘앞,00,73,239
2013-04-20,토,0,6,0,1|6,동묘앞,00,43,350
2013-04-21,일,0,0,0,1|6,동묘앞,00,2,171
2013-04-22,월,0,1,1,1|6,동묘앞,00,14,195
2013-04-23,화,0,2,1,1|6,동묘앞,00,42,181
2013-04-24,수,0,3,1,1|6,동묘앞,00,54,206
2013-04-25,목,0,4,1,1|6,동묘앞,00,57,180
2013-04-26,금,0,5,1,1|6,동묘앞,00,49,279
2013-04-27,토,0,6,0,1|6,동묘앞,00,45,295
2013-04-28,일,0,0,0,1|6,동묘앞,00,6,217
2013-04-29,월,0,1,1,1|6,동묘앞,00,18,176
2013-04-30,화,0,2,1,1|6,동묘앞,00,54,228
2013-05-01,수,0,3,1,1|6,동묘앞,00,56,223
2013-05-02,목,0,4,1,1|6,동묘앞,00,52,190
2013-05-03,금,0,5,1,1|6,동묘앞,00,56,271
2013-05-04,토,0,6,0,1|6,동묘앞,00,46,341
2013-05-05,일,0,0,0,1|6,동묘앞,00,9,233
2013-05-06,월,0,1,1,1|6,동묘앞,00,22,154
2013-05-07,화,0,2,1,1|6,동묘앞,00,67,200
2013-05-08,수,0,3,1,1|6,동묘앞,00,50,170
2013-05-09,목,0,4,1,1|6,동묘앞,00,56,227
2013-05-10,금,0,5,1,1|6,동묘앞,00,56,260
2013-05-11,토,0,6,0,1|6,동묘앞,00,56,399
2013-05-12,일,0,0,0,1|6,동묘앞,00,8,220
2013-05-13,월,0,1,1,1|6,동묘앞,00,22,193
2013-05-14,화,0,2,1,1|6,동묘앞,00,64,213
2013-05-15,수,0,3,1,1|6,동묘앞,00,65,205
2013-05-16,목,0,4,1,1|6,동묘앞,00,55,327
2013-05-17,공,1,5,0,1|6,동묘앞,00,50,304
2013-05-18,토,0,6,0,1|6,동묘앞,00,6,237
2013-05-19,일,0,0,0,1|6,동묘앞,00,11,184
2013-05-20,월,0,1,1,1|6,동묘앞,00,19,175
2013-05-21,화,0,2,1,1|6,동묘앞,00,52,233
2013-05-22,수,0,3,1,1|6,동묘앞,00,58,169
2013-05-23,목,0,4,1,1|6,동묘앞,00,49,231
2013-05-24,금,0,5,1,1|6,동묘앞,00,60,291
2013-05-25,토,0,6,0,1|6,동묘앞,00,69,346
2013-05-26,일,0,0,0,1|6,동묘앞,00,1,196
2013-05-27,월,0,1,1,1|6,동묘앞,00,13,153
2013-05-28,화,0,2,1,1|6,동묘앞,00,49,209
2013-05-29,수,0,3,1,1|6,동묘앞,00,58,210
2013-05-30,목,0,4,1,1|6,동묘앞,00,59,234
2013-05-31,금,0,5,1,1|6,동묘앞,00,45,311
2013-06-01,토,0,6,0,1|6,동묘앞,00,61,332
2013-06-02,일,0,0,0,1|6,동묘앞,00,2,182
2013-06-03,월,0,1,1,1|6,동묘앞,00,21,153
2013-06-04,화,0,2,1,1|6,동묘앞,00,53,190
2013-06-05,수,0,3,1,1|6,동묘앞,00,75,227
2013-06-06,공,1,4,0,1|6,동묘앞,00,46,289
2013-06-07,금,0,5,1,1|6,동묘앞,00,26,230
2013-06-08,토,0,6,0,1|6,동묘앞,00,42,251
2013-06-09,일,0,0,0,1|6,동묘앞,00,7,253
2013-06-10,월,0,1,1,1|6,동묘앞,00,26,148
2013-06-11,화,0,2,1,1|6,동묘앞,00,55,201
2013-06-12,수,0,3,1,1|6,동묘앞,00,41,188
2013-06-13,목,0,4,1,1|6,동묘앞,00,65,240
2013-06-14,금,0,5,1,1|6,동묘앞,00,53,279
2013-06-15,토,0,6,0,1|6,동묘앞,00,48,347
2013-06-16,일,0,0,0,1|6,동묘앞,00,3,209
2013-06-17,월,0,1,1,1|6,동묘앞,00,15,123
2013-06-18,화,0,2,1,1|6,동묘앞,00,35,146
2013-06-19,수,0,3,1,1|6,동묘앞,00,50,193
2013-06-20,목,0,4,1,1|6,동묘앞,00,51,215
2013-06-21,금,0,5,1,1|6,동묘앞,00,48,262
2013-06-22,토,0,6,0,1|6,동묘앞,00,57,336
2013-06-23,일,0,0,0,1|6,동묘앞,00,5,236
2013-06-24,월,0,1,1,1|6,동묘앞,00,20,179
2013-06-25,화,0,2,1,1|6,동묘앞,00,58,199
2013-06-26,수,0,3,1,1|6,동묘앞,00,45,199
2013-06-27,목,0,4,1,1|6,동묘앞,00,50,226
2013-06-28,금,0,5,1,1|6,동묘앞,00,63,290
2013-06-29,토,0,6,0,1|6,동묘앞,00,53,328
2013-06-30,일,0,0,0,1|6,동묘앞,00,5,203
2013-07-01,월,0,1,1,1|6,동묘앞,00,16,120
2013-07-02,화,0,2,1,1|6,동묘앞,00,45,182
2013-07-03,수,0,3,1,1|6,동묘앞,00,44,187
2013-07-04,목,0,4,1,1|6,동묘앞,00,50,193
2013-07-05,금,0,5,1,1|6,동묘앞,00,49,249
2013-07-06,토,0,6,0,1|6,동묘앞,00,44,314
2013-07-07,일,0,0,0,1|6,동묘앞,00,5,194
2013-07-08,월,0,1,1,1|6,동묘앞,00,9,152
2013-07-09,화,0,2,1,1|6,동묘앞,00,42,159
2013-07-10,수,0,3,1,1|6,동묘앞,00,43,192
2013-07-11,목,0,4,1,1|6,동묘앞,00,47,191
2013-07-12,금,0,5,1,1|6,동묘앞,00,43,254
