2013-01-01,공,1,2,0,3|6,불광,00,69,159
2013-01-02,수,0,3,1,3|6,불광,00,27,231
2013-01-03,목,0,4,1,3|6,불광,00,43,323
2013-01-04,금,0,5,1,3|6,불광,00,67,404
2013-01-05,토,0,6,0,3|6,불광,00,25,181
2013-01-06,일,0,0,0,3|6,불광,00,0,53
2013-01-07,월,0,1,1,3|6,불광,00,27,228
2013-01-08,화,0,2,1,3|6,불광,00,43,287
2013-01-09,수,0,3,1,3|6,불광,00,31,292
2013-01-10,목,0,4,1,3|6,불광,00,29,351
2013-01-11,금,0,5,1,3|6,불광,00,61,431
2013-01-12,토,0,6,0,3|6,불광,00,17,147
2013-01-13,일,0,0,0,3|6,불광,00,0,94
2013-01-14,월,0,1,1,3|6,불광,00,25,218
2013-01-15,화,0,2,1,3|6,불광,00,49,277
2013-01-16,수,0,3,1,3|6,불광,00,45,299
2013-01-17,목,0,4,1,3|6,불광,00,51,301
2013-01-18,금,0,5,1,3|6,불광,00,73,469
2013-01-19,토,0,6,0,3|6,불광,00,12,159
2013-01-20,일,0,0,0,3|6,불광,00,2,59
2013-01-21,월,0,1,1,3|6,불광,00,37,214
2013-01-22,화,0,2,1,3|6,불광,00,41,313
2013-01-23,수,0,3,1,3|6,불광,00,57,313
2013-01-24,목,0,4,1,3|6,불광,00,59,301
2013-01-25,금,0,5,1,3|6,불광,00,63,413
2013-01-26,토,0,6,0,3|6,불광,00,14,152
2013-01-27,일,0,0,0,3|6,불광,00,0,58
2013-01-28,월,0,1,1,3|6,불광,00,34,242
2013-01-29,화,0,2,1,3|6,불광,00,62,295
2013-01-30,수,0,3,1,3|6,불광,00,41,351
2013-01-31,목,0,4,1,3|6,불광,00,40,356
2013-02-01,금,0,5,1,3|6,불광,00,49,411
2013-02-02,토,0,6,0,3|6,불광,00,10,143
2013-02-03,일,0,0,0,3|6,불광,00,0,53
2013-02-04,월,0,1,1,3|6,불광,00,37,254
2013-02-05,화,0,2,1,3|6,불광,00,48,309
2013-02-06,수,0,3,1,3|6,불광,00,36,305
2013-02-07,목,0,4,1,3|6,불광,00,52,391
2013-02-08,금,0,5,1,3|6,불광,00,38,250
2013-02-09,공,1,6,0,3|6,불광,00,12,81
2013-02-10,공,1,0,0,3|6,불광,00,25,99
2013-02-11,공,1,1,0,3|6,불광,00,38,135
2013-02-12,화,0,2,1,3|6,불광,00,55,238
2013-02-13,수,0,3,1,3|6,불광,00,34,322
2013-02-14,목,0,4,1,3|6,불광,00,58,341
2013-02-15,금,0,5,1,3|6,불광,00,54,458
2013-02-16,토,0,6,0,3|6,불광,00,24,169
2013-02-17,일,0,0,0,3|6,불광,00,0,75
2013-02-18,월,0,1,1,3|6,불광,00,36,243
2013-02-19,화,0,2,1,3|6,불광,00,36,284
2013-02-20,수,0,3,1,3|6,불광,00,61,336
2013-02-21,목,0,4,1,3|6,불광,00,44,331
2013-02-22,금,0,5,1,3|6,불광,00,87,443
2013-02-23,토,0,6,0,3|6,불광,00,18,134
2013-02-24,일,0,0,0,3|6,불광,00,1,68
2013-02-25,월,0,1,1,3|6,불광,00,32,245
2013-02-26,화,0,2,1,3|6,불광,00,49,348
2013-02-27,수,0,3,1,3|6,불광,00,49,358
2013-02-28,목,0,4,1,3|6,불광,00,76,513
2013-03-01,공,1,5,0,3|6,불광,00,33,176
2013-03-02,토,0,6,0,3|6,불광,00,0,67
2013-03-03,일,0,0,0,3|6,불광,00,0,36
2013-03-04,월,0,1,1,3|6,불광,00,32,282
2013-03-05,화,0,2,1,3|6,불광,00,47,340
2013-03-06,수,0,3,1,3|6,불광,00,60,357
2013-03-07,목,0,4,1,3|6,불광,00,48,377
2013-03-08,금,0,5,1,3|6,불광,00,63,495
2013-03-09,토,0,6,0,3|6,불광,00,16,167
2013-03-10,일,0,0,0,3|6,불광,00,2,46
2013-03-11,월,0,1,1,3|6,불광,00,43,307
2013-03-12,화,0,2,1,3|6,불광,00,53,351
2013-03-13,수,0,3,1,3|6,불광,00,45,308
2013-03-14,목,0,4,1,3|6,불광,00,38,403
2013-03-15,금,0,5,1,3|6,불광,00,76,469
2013-03-16,토,0,6,0,3|6,불광,00,15,189
2013-03-17,일,0,0,0,3|6,불광,00,4,68
2013-03-18,월,0,1,1,3|6,불광,00,28,214
2013-03-19,화,0,2,1,3|6,불광,00,49,336
2013-03-20,수,0,3,1,3|6,불광,00,45,292
2013-03-21,목,0,4,1,3|6,불광,00,43,392
2013-03-22,금,0,5,1,3|6,불광,00,75,416
2013-03-23,토,0,6,0,3|6,불광,00,22,172
2013-03-24,일,0,0,0,3|6,불광,00,1,85
2013-03-25,월,0,1,1,3|6,불광,00,33,227
2013-03-26,화,0,2,1,3|6,불광,00,37,272
2013-03-27,수,0,3,1,3|6,불광,00,60,329
2013-03-28,목,0,4,1,3|6,불광,00,52,398
2013-03-29,금,0,5,1,3|6,불광,00,73,459
2013-03-30,토,0,6,0,3|6,불광,00,14,145
2013-03-31,일,0,0,0,3|6,불광,00,1,48
2013-04-01,월,0,1,1,3|6,불광,00,34,283
2013-04-02,화,0,2,1,3|6,불광,00,38,318
2013-04-03,수,0,3,1,3|6,불광,00,39,357
2013-04-04,목,0,4,1,3|6,불광,00,57,385
2013-04-05,금,0,5,1,3|6,불광,00,90,537
2013-04-06,토,0,6,0,3|6,불광,00,22,173
2013-04-07,일,0,0,0,3|6,불광,00,2,99
2013-04-08,월,0,1,1,3|6,불광,00,42,280
2013-04-09,화,0,2,1,3|6,불광,00,51,250
2013-04-10,수,0,3,1,3|6,불광,00,55,321
2013-04-11,목,0,4,1,3|6,불광,00,52,368
2013-04-12,금,0,5,1,3|6,불광,00,71,431
2013-04-13,토,0,6,0,3|6,불광,00,20,161
2013-04-14,일,0,0,0,3|6,불광,00,2,51
2013-04-15,월,0,1,1,3|6,불광,00,45,301
2013-04-16,화,0,2,1,3|6,불광,00,58,340
