2013-01-01,공,1,2,0,2|4,사당,00,2,282
2013-01-02,수,0,3,1,2|4,사당,00,357,1015
2013-01-03,목,0,4,1,2|4,사당,00,453,1067
2013-01-04,금,0,5,1,2|4,사당,00,832,1762
2013-01-05,토,0,6,0,2|4,사당,00,2,459
2013-01-06,일,0,0,0,2|4,사당,00,2,195
2013-01-07,월,0,1,1,2|4,사당,00,424,999
2013-01-08,화,0,2,1,2|4,사당,00,482,1143
2013-01-09,수,0,3,1,2|4,사당,00,463,1042
2013-01-10,목,0,4,1,2|4,사당,00,571,1296
2013-01-11,금,0,5,1,2|4,사당,00,919,1933
2013-01-12,토,0,6,0,2|4,사당,00,3,484
2013-01-13,일,0,0,0,2|4,사당,00,0,230
2013-01-14,월,0,1,1,2|4,사당,00,375,938
2013-01-15,화,0,2,1,2|4,사당,00,474,1140
2013-01-16,수,0,3,1,2|4,사당,00,484,1212
2013-01-17,목,0,4,1,2|4,사당,00,584,1139
2013-01-18,금,0,5,1,2|4,사당,00,855,1817
2013-01-19,토,0,6,0,2|4,사당,00,4,577
2013-01-20,일,0,0,0,2|4,사당,00,1,223
2013-01-21,월,0,1,1,2|4,사당,00,425,922
2013-01-22,화,0,2,1,2|4,사당,00,422,1268
2013-01-23,수,0,3,1,2|4,사당,00,530,1250
2013-01-24,목,0,4,1,2|4,사당,00,503,1221
2013-01-25,금,0,5,1,2|4,사당,00,831,1578
2013-01-26,토,0,6,0,2|4,사당,00,3,647
2013-01-27,일,0,0,0,2|4,사당,00,0,232
2013-01-28,월,0,1,1,2|4,사당,00,435,1075
2013-01-29,화,0,2,1,2|4,사당,00,467,1357
2013-01-30,수,0,3,1,2|4,사당,00,502,1304
2013-01-31,목,0,4,1,2|4,사당,00,582,1364
2013-02-01,금,0,5,1,2|4,사당,00,877,1659
2013-02-02,토,0,6,0,2|4,사당,00,4,701
2013-02-03,일,0,0,0,2|4,사당,00,2,246
2013-02-04,월,0,1,1,2|4,사당,00,424,1227
2013-02-05,화,0,2,1,2|4,사당,00,564,1152
2013-02-06,수,0,3,1,2|4,사당,00,521,1271
2013-02-07,목,0,4,1,2|4,사당,00,574,1295
2013-02-08,금,0,5,1,2|4,사당,00,400,919
2013-02-09,공,1,6,0,2|4,사당,00,1,247
2013-02-10,공,1,0,0,2|4,사당,00,117,333
2013-02-11,공,1,1,0,2|4,사당,00,188,604
2013-02-12,화,0,2,1,2|4,사당,00,377,1010
2013-02-13,수,0,3,1,2|4,사당,00,511,1240
