2013-01-01,공,1,2,0,4|6,삼각지,00,62,135
2013-01-02,수,0,3,1,4|6,삼각지,00,22,50
2013-01-03,목,0,4,1,4|6,삼각지,00,53,108
2013-01-04,금,0,5,1,4|6,삼각지,00,54,144
2013-01-05,토,0,6,0,4|6,삼각지,00,25,78
2013-01-06,일,0,0,0,4|6,삼각지,00,1,27
2013-01-07,월,0,1,1,4|6,삼각지,00,23,61
2013-01-08,화,0,2,1,4|6,삼각지,00,52,103
2013-01-09,수,0,3,1,4|6,삼각지,00,32,112
2013-01-10,목,0,4,1,4|6,삼각지,00,47,122
2013-01-11,금,0,5,1,4|6,삼각지,00,99,154
2013-01-12,토,0,6,0,4|6,삼각지,00,28,85
2013-01-13,일,0,0,0,4|6,삼각지,00,0,11
2013-01-14,월,0,1,1,4|6,삼각지,00,13,60
2013-01-15,화,0,2,1,4|6,삼각지,00,55,106
2013-01-16,수,0,3,1,4|6,삼각지,00,65,114
2013-01-17,목,0,4,1,4|6,삼각지,00,40,98
2013-01-18,금,0,5,1,4|6,삼각지,00,58,159
2013-01-19,토,0,6,0,4|6,삼각지,00,32,90
2013-01-20,일,0,0,0,4|6,삼각지,00,2,30
2013-01-21,월,0,1,1,4|6,삼각지,00,16,70
2013-01-22,화,0,2,1,4|6,삼각지,00,51,92
2013-01-23,수,0,3,1,4|6,삼각지,00,57,117
2013-01-24,목,0,4,1,4|6,삼각지,00,56,130
2013-01-25,금,0,5,1,4|6,삼각지,00,60,153
2013-01-26,토,0,6,0,4|6,삼각지,00,50,85
2013-01-27,일,0,0,0,4|6,삼각지,00,0,18
2013-01-28,월,0,1,1,4|6,삼각지,00,13,54
2013-01-29,화,0,2,1,4|6,삼각지,00,55,109
2013-01-30,수,0,3,1,4|6,삼각지,00,46,118
2013-01-31,목,0,4,1,4|6,삼각지,00,62,128
2013-02-01,금,0,5,1,4|6,삼각지,00,67,139
2013-02-02,토,0,6,0,4|6,삼각지,00,35,81
2013-02-03,일,0,0,0,4|6,삼각지,00,3,17
2013-02-04,월,0,1,1,4|6,삼각지,00,19,77
2013-02-05,화,0,2,1,4|6,삼각지,00,58,128
2013-02-06,수,0,3,1,4|6,삼각지,00,43,151
2013-02-07,목,0,4,1,4|6,삼각지,00,43,127
2013-02-08,금,0,5,1,4|6,삼각지,00,53,103
2013-02-09,공,1,6,0,4|6,삼각지,00,25,50
2013-02-10,공,1,0,0,4|6,삼각지,00,6,25
2013-02-11,공,1,1,0,4|6,삼각지,00,16,59
2013-02-12,화,0,2,1,4|6,삼각지,00,35,105
2013-02-13,수,0,3,1,4|6,삼각지,00,47,100
2013-02-14,목,0,4,1,4|6,삼각지,00,55,139
2013-02-15,금,0,5,1,4|6,삼각지,00,57,182
2013-02-16,토,0,6,0,4|6,삼각지,00,51,91
2013-02-17,일,0,0,0,4|6,삼각지,00,1,20
2013-02-18,월,0,1,1,4|6,삼각지,00,24,68
2013-02-19,화,0,2,1,4|6,삼각지,00,52,114
2013-02-20,수,0,3,1,4|6,삼각지,00,54,125
2013-02-21,목,0,4,1,4|6,삼각지,00,46,135
2013-02-22,금,0,5,1,4|6,삼각지,00,49,171
2013-02-23,토,0,6,0,4|6,삼각지,00,43,91
2013-02-24,일,0,0,0,4|6,삼각지,00,2,12
2013-02-25,월,0,1,1,4|6,삼각지,00,20,66
2013-02-26,화,0,2,1,4|6,삼각지,00,44,134
2013-02-27,수,0,3,1,4|6,삼각지,00,52,126
2013-02-28,목,0,4,1,4|6,삼각지,00,104,205
2013-03-01,공,1,5,0,4|6,삼각지,00,66,110
2013-03-02,토,0,6,0,4|6,삼각지,00,3,26
2013-03-03,일,0,0,0,4|6,삼각지,00,1,24
2013-03-04,월,0,1,1,4|6,삼각지,00,19,55
2013-03-05,화,0,2,1,4|6,삼각지,00,65,120
2013-03-06,수,0,3,1,4|6,삼각지,00,73,129
2013-03-07,목,0,4,1,4|6,삼각지,00,59,129
2013-03-08,금,0,5,1,4|6,삼각지,00,91,172
2013-03-09,토,0,6,0,4|6,삼각지,00,63,120
2013-03-10,일,0,0,0,4|6,삼각지,00,0,7
2013-03-11,월,0,1,1,4|6,삼각지,00,27,62
2013-03-12,화,0,2,1,4|6,삼각지,00,55,129
2013-03-13,수,0,3,1,4|6,삼각지,00,50,142
2013-03-14,목,0,4,1,4|6,삼각지,00,49,143
2013-03-15,금,0,5,1,4|6,삼각지,00,63,192
2013-03-16,토,0,6,0,4|6,삼각지,00,52,101
2013-03-17,일,0,0,0,4|6,삼각지,00,3,22
2013-03-18,월,0,1,1,4|6,삼각지,00,13,78
2013-03-19,화,0,2,1,4|6,삼각지,00,45,134
2013-03-20,수,0,3,1,4|6,삼각지,00,61,122
2013-03-21,목,0,4,1,4|6,삼각지,00,44,161
2013-03-22,금,0,5,1,4|6,삼각지,00,63,186
2013-03-23,토,0,6,0,4|6,삼각지,00,48,86
2013-03-24,일,0,0,0,4|6,삼각지,00,0,26
2013-03-25,월,0,1,1,4|6,삼각지,00,19,40
2013-03-26,화,0,2,1,4|6,삼각지,00,52,128
2013-03-27,수,0,3,1,4|6,삼각지,00,60,139
2013-03-28,목,0,4,1,4|6,삼각지,00,79,149
2013-03-29,금,0,5,1,4|6,삼각지,00,68,167
2013-03-30,토,0,6,0,4|6,삼각지,00,50,116
2013-03-31,일,0,0,0,4|6,삼각지,00,0,14
2013-04-01,월,0,1,1,4|6,삼각지,00,27,67
2013-04-02,화,0,2,1,4|6,삼각지,00,60,119
2013-04-03,수,0,3,1,4|6,삼각지,00,58,126
2013-04-04,목,0,4,1,4|6,삼각지,00,72,136
2013-04-05,금,0,5,1,4|6,삼각지,00,83,187
2013-04-06,토,0,6,0,4|6,삼각지,00,42,99
2013-04-07,일,0,0,0,4|6,삼각지,00,0,21
2013-04-08,월,0,1,1,4|6,삼각지,00,15,69
2013-04-09,화,0,2,1,4|6,삼각지,00,58,119
2013-04-10,수,0,3,1,4|6,삼각지,00,39,146
2013-04-11,목,0,4,1,4|6,삼각지,00,66,130
2013-04-12,금,0,5,1,4|6,삼각지,00,54,161
2013-04-13,토,0,6,0,4|6,삼각지,00,56,119
2013-04-14,일,0,0,0,4|6,삼각지,00,2,26
