2013-01-01,공,1,2,0,1|2,시청,00,16,95
2013-01-02,수,0,3,1,1|2,시청,00,120,77
2013-01-03,목,0,4,1,1|2,시청,00,200,86
2013-01-04,금,0,5,1,1|2,시청,00,214,149
2013-01-05,토,0,6,0,1|2,시청,00,18,76
2013-01-06,일,0,0,0,1|2,시청,00,2,53
2013-01-07,월,0,1,1,1|2,시청,00,153,86
2013-01-08,화,0,2,1,1|2,시청,00,173,106
2013-01-09,수,0,3,1,1|2,시청,00,131,59
2013-01-10,목,0,4,1,1|2,시청,00,243,112
2013-01-11,금,0,5,1,1|2,시청,00,228,168
2013-01-12,토,0,6,0,1|2,시청,00,16,96
2013-01-13,일,0,0,0,1|2,시청,00,8,54
2013-01-14,월,0,1,1,1|2,시청,00,171,74
2013-01-15,화,0,2,1,1|2,시청,00,138,99
2013-01-16,수,0,3,1,1|2,시청,00,176,91
2013-01-17,목,0,4,1,1|2,시청,00,193,93
2013-01-18,금,0,5,1,1|2,시청,00,216,148
2013-01-19,토,0,6,0,1|2,시청,00,10,76
2013-01-20,일,0,0,0,1|2,시청,00,6,58
2013-01-21,월,0,1,1,1|2,시청,00,152,93
2013-01-22,화,0,2,1,1|2,시청,00,167,85
2013-01-23,수,0,3,1,1|2,시청,00,202,72
2013-01-24,목,0,4,1,1|2,시청,00,235,104
2013-01-25,금,0,5,1,1|2,시청,00,216,173
2013-01-26,토,0,6,0,1|2,시청,00,14,109
2013-01-27,일,0,0,0,1|2,시청,00,5,34
2013-01-28,월,0,1,1,1|2,시청,00,129,93
2013-01-29,화,0,2,1,1|2,시청,00,176,102
2013-01-30,수,0,3,1,1|2,시청,00,183,111
2013-01-31,목,0,4,1,1|2,시청,00,237,105
2013-02-01,금,0,5,1,1|2,시청,00,192,153
2013-02-02,토,0,6,0,1|2,시청,00,18,75
2013-02-03,일,0,0,0,1|2,시청,00,12,61
2013-02-04,월,0,1,1,1|2,시청,00,190,98
2013-02-05,화,0,2,1,1|2,시청,00,252,101
2013-02-06,수,0,3,1,1|2,시청,00,190,107
2013-02-07,목,0,4,1,1|2,시청,00,256,119
2013-02-08,금,0,5,1,1|2,시청,00,52,57
2013-02-09,공,1,6,0,1|2,시청,00,6,54
2013-02-10,공,1,0,0,1|2,시청,00,40,50
2013-02-11,공,1,1,0,1|2,시청,00,18,50
2013-02-12,화,0,2,1,1|2,시청,00,113,102
2013-02-13,수,0,3,1,1|2,시청,00,200,123
2013-02-14,목,0,4,1,1|2,시청,00,199,124
2013-02-15,금,0,5,1,1|2,시청,00,242,158
2013-02-16,토,0,6,0,1|2,시청,00,12,82
2013-02-17,일,0,0,0,1|2,시청,00,4,34
2013-02-18,월,0,1,1,1|2,시청,00,145,88
2013-02-19,화,0,2,1,1|2,시청,00,180,99
2013-02-20,수,0,3,1,1|2,시청,00,224,95
2013-02-21,목,0,4,1,1|2,시청,00,194,118
2013-02-22,금,0,5,1,1|2,시청,00,238,155
2013-02-23,토,0,6,0,1|2,시청,00,9,74
2013-02-24,일,0,0,0,1|2,시청,00,8,44
2013-02-25,월,0,1,1,1|2,시청,00,165,117
2013-02-26,화,0,2,1,1|2,시청,00,191,109
2013-02-27,수,0,3,1,1|2,시청,00,195,120
2013-02-28,목,0,4,1,1|2,시청,00,436,191
2013-03-01,공,1,5,0,1|2,시청,00,12,93
2013-03-02,토,0,6,0,1|2,시청,00,8,84
2013-03-03,일,0,0,0,1|2,시청,00,3,36
2013-03-04,월,0,1,1,1|2,시청,00,162,110
2013-03-05,화,0,2,1,1|2,시청,00,179,113
2013-03-06,수,0,3,1,1|2,시청,00,179,122
2013-03-07,목,0,4,1,1|2,시청,00,203,117
2013-03-08,금,0,5,1,1|2,시청,00,240,180
2013-03-09,토,0,6,0,1|2,시청,00,14,133
2013-03-10,일,0,0,0,1|2,시청,00,13,35
2013-03-11,월,0,1,1,1|2,시청,00,161,95
2013-03-12,화,0,2,1,1|2,시청,00,212,113
2013-03-13,수,0,3,1,1|2,시청,00,165,105
2013-03-14,목,0,4,1,1|2,시청,00,175,117
2013-03-15,금,0,5,1,1|2,시청,00,293,215
2013-03-16,토,0,6,0,1|2,시청,00,14,123
2013-03-17,일,0,0,0,1|2,시청,00,3,58
2013-03-18,월,0,1,1,1|2,시청,00,126,69
2013-03-19,화,0,2,1,1|2,시청,00,178,106
2013-03-20,수,0,3,1,1|2,시청,00,165,121
2013-03-21,목,0,4,1,1|2,시청,00,200,124
2013-03-22,금,0,5,1,1|2,시청,00,253,171
2013-03-23,토,0,6,0,1|2,시청,00,10,95
2013-03-24,일,0,0,0,1|2,시청,00,6,47
2013-03-25,월,0,1,1,1|2,시청,00,139,111
2013-03-26,화,0,2,1,1|2,시청,00,180,89
2013-03-27,수,0,3,1,1|2,시청,00,197,112
2013-03-28,목,0,4,1,1|2,시청,00,239,153
2013-03-29,금,0,5,1,1|2,시청,00,320,203
2013-03-30,토,0,6,0,1|2,시청,00,14,98
2013-03-31,일,0,0,0,1|2,시청,00,5,42
2013-04-01,월,0,1,1,1|2,시청,00,147,92
2013-04-02,화,0,2,1,1|2,시청,00,148,118
2013-04-03,수,0,3,1,1|2,시청,00,168,106
2013-04-04,목,0,4,1,1|2,시청,00,236,134
2013-04-05,금,0,5,1,1|2,시청,00,255,228
2013-04-06,토,0,6,0,1|2,시청,00,10,70
2013-04-07,일,0,0,0,1|2,시청,00,4,66
2013-04-08,월,0,1,1,1|2,시청,00,148,86
2013-04-09,화,0,2,1,1|2,시청,00,175,98
2013-04-10,수,0,3,1,1|2,시청,00,150,115
2013-04-11,목,0,4,1,1|2,시청,00,215,104
2013-04-12,금,0,5,1,1|2,시청,00,208,196
2013-04-13,토,0,6,0,1|2,시청,00,12,111
2013-04-14,일,0,0,0,1|2,시청,00,8,54
2013-04-15,월,0,1,1,1|2,시청,00,146,81
