2013-01-01,공,1,2,0,2|6,신당,00,159,136
2013-01-02,수,0,3,1,2|6,신당,00,27,143
2013-01-03,목,0,4,1,2|6,신당,00,79,211
2013-01-04,금,0,5,1,2|6,신당,00,126,327
2013-01-05,토,0,6,0,2|6,신당,00,59,108
2013-01-06,일,0,0,0,2|6,신당,00,0,41
2013-01-07,월,0,1,1,2|6,신당,00,38,114
2013-01-08,화,0,2,1,2|6,신당,00,97,212
2013-01-09,수,0,3,1,2|6,신당,00,86,238
2013-01-10,목,0,4,1,2|6,신당,00,103,244
2013-01-11,금,0,5,1,2|6,신당,00,135,348
2013-01-12,토,0,6,0,2|6,신당,00,88,142
2013-01-13,일,0,0,0,2|6,신당,00,0,21
2013-01-14,월,0,1,1,2|6,신당,00,38,200
2013-01-15,화,0,2,1,2|6,신당,00,89,201
2013-01-16,수,0,3,1,2|6,신당,00,100,250
2013-01-17,목,0,4,1,2|6,신당,00,103,275
2013-01-18,금,0,5,1,2|6,신당,00,121,307
2013-01-19,토,0,6,0,2|6,신당,00,59,115
2013-01-20,일,0,0,0,2|6,신당,00,0,12
2013-01-21,월,0,1,1,2|6,신당,00,36,158
2013-01-22,화,0,2,1,2|6,신당,00,86,232
2013-01-23,수,0,3,1,2|6,신당,00,93,239
2013-01-24,목,0,4,1,2|6,신당,00,68,262
2013-01-25,금,0,5,1,2|6,신당,00,112,323
2013-01-26,토,0,6,0,2|6,신당,00,60,101
2013-01-27,일,0,0,0,2|6,신당,00,0,15
2013-01-28,월,0,1,1,2|6,신당,00,39,146
2013-01-29,화,0,2,1,2|6,신당,00,92,275
2013-01-30,수,0,3,1,2|6,신당,00,79,271
2013-01-31,목,0,4,1,2|6,신당,00,106,243
2013-02-01,금,0,5,1,2|6,신당,00,104,269
2013-02-02,토,0,6,0,2|6,신당,00,52,138
2013-02-03,일,0,0,0,2|6,신당,00,3,90
2013-02-04,월,0,1,1,2|6,신당,00,44,191
2013-02-05,화,0,2,1,2|6,신당,00,93,309
2013-02-06,수,0,3,1,2|6,신당,00,96,261
2013-02-07,목,0,4,1,2|6,신당,00,82,293
2013-02-08,금,0,5,1,2|6,신당,00,93,251
2013-02-09,공,1,6,0,2|6,신당,00,19,36
2013-02-10,공,1,0,0,2|6,신당,00,14,73
2013-02-11,공,1,1,0,2|6,신당,00,47,120
2013-02-12,화,0,2,1,2|6,신당,00,60,167
2013-02-13,수,0,3,1,2|6,신당,00,80,184
2013-02-14,목,0,4,1,2|6,신당,00,94,343
2013-02-15,금,0,5,1,2|6,신당,00,133,324
2013-02-16,토,0,6,0,2|6,신당,00,84,120
2013-02-17,일,0,0,0,2|6,신당,00,2,25
2013-02-18,월,0,1,1,2|6,신당,00,52,152
2013-02-19,화,0,2,1,2|6,신당,00,105,282
2013-02-20,수,0,3,1,2|6,신당,00,121,236
2013-02-21,목,0,4,1,2|6,신당,00,125,303
2013-02-22,금,0,5,1,2|6,신당,00,133,339
2013-02-23,토,0,6,0,2|6,신당,00,60,131
2013-02-24,일,0,0,0,2|6,신당,00,1,59
2013-02-25,월,0,1,1,2|6,신당,00,60,186
2013-02-26,화,0,2,1,2|6,신당,00,88,307
2013-02-27,수,0,3,1,2|6,신당,00,115,266
2013-02-28,목,0,4,1,2|6,신당,00,146,389
2013-03-01,공,1,5,0,2|6,신당,00,65,149
2013-03-02,토,0,6,0,2|6,신당,00,4,112
2013-03-03,일,0,0,0,2|6,신당,00,1,55
2013-03-04,월,0,1,1,2|6,신당,00,33,172
2013-03-05,화,0,2,1,2|6,신당,00,101,261
2013-03-06,수,0,3,1,2|6,신당,00,108,254
2013-03-07,목,0,4,1,2|6,신당,00,99,313
2013-03-08,금,0,5,1,2|6,신당,00,136,343
2013-03-09,토,0,6,0,2|6,신당,00,78,170
2013-03-10,일,0,0,0,2|6,신당,00,1,29
2013-03-11,월,0,1,1,2|6,신당,00,46,168
2013-03-12,화,0,2,1,2|6,신당,00,89,287
2013-03-13,수,0,3,1,2|6,신당,00,104,279
2013-03-14,목,0,4,1,2|6,신당,00,139,319
2013-03-15,금,0,5,1,2|6,신당,00,141,367
2013-03-16,토,0,6,0,2|6,신당,00,85,186
2013-03-17,일,0,0,0,2|6,신당,00,4,34
2013-03-18,월,0,1,1,2|6,신당,00,56,189
2013-03-19,화,0,2,1,2|6,신당,00,91,277
2013-03-20,수,0,3,1,2|6,신당,00,110,269
2013-03-21,목,0,4,1,2|6,신당,00,97,273
2013-03-22,금,0,5,1,2|6,신당,00,127,342
2013-03-23,토,0,6,0,2|6,신당,00,87,189
2013-03-24,일,0,0,0,2|6,신당,00,1,22
2013-03-25,월,0,1,1,2|6,신당,00,38,162
2013-03-26,화,0,2,1,2|6,신당,00,100,228
2013-03-27,수,0,3,1,2|6,신당,00,88,297
2013-03-28,목,0,4,1,2|6,신당,00,106,310
2013-03-29,금,0,5,1,2|6,신당,00,131,329
2013-03-30,토,0,6,0,2|6,신당,00,75,171
2013-03-31,일,0,0,0,2|6,신당,00,0,39
2013-04-01,월,0,1,1,2|6,신당,00,43,184
2013-04-02,화,0,2,1,2|6,신당,00,91,270
2013-04-03,수,0,3,1,2|6,신당,00,107,290
2013-04-04,목,0,4,1,2|6,신당,00,113,311
2013-04-05,금,0,5,1,2|6,신당,00,128,353
2013-04-06,토,0,6,0,2|6,신당,00,66,172
2013-04-07,일,0,0,0,2|6,신당,00,0,29
2013-04-08,월,0,1,1,2|6,신당,00,44,182
2013-04-09,화,0,2,1,2|6,신당,00,100,295
2013-04-10,수,0,3,1,2|6,신당,00,104,283
2013-04-11,목,0,4,1,2|6,신당,00,117,331
2013-04-12,금,0,5,1,2|6,신당,00,121,334
2013-04-13,토,0,6,0,2|6,신당,00,94,174
2013-04-14,일,0,0,0,2|6,신당,00,2,54
2013-04-15,월,0,1,1,2|6,신당,00,42,196
2013-04-16,화,0,2,1,2|6,신당,00,102,262
2013-04-17,수,0,3,1,2|6,신당,00,110,292
2013-04-18,목,0,4,1,2|6,신당,00,133,309
2013-04-19,금,0,5,1,2|6,신당,00,118,402
2013-04-20,토,0,6,0,2|6,신당,00,71,203
2013-04-21,일,0,0,0,2|6,신당,00,0,10
2013-04-22,월,0,1,1,2|6,신당,00,51,158
2013-04-23,화,0,2,1,2|6,신당,00,89,231
2013-04-24,수,0,3,1,2|6,신당,00,89,287
2013-04-25,목,0,4,1,2|6,신당,00,108,339
2013-04-26,금,0,5,1,2|6,신당,00,129,367
2013-04-27,토,0,6,0,2|6,신당,00,70,140
2013-04-28,일,0,0,0,2|6,신당,00,0,53
2013-04-29,월,0,1,1,2|6,신당,00,54,255
2013-04-30,화,0,2,1,2|6,신당,00,120,350
2013-05-01,수,0,3,1,2|6,신당,00,115,269
2013-05-02,목,0,4,1,2|6,신당,00,91,276
2013-05-03,금,0,5,1,2|6,신당,00,115,319
2013-05-04,토,0,6,0,2|6,신당,00,63,185
2013-05-05,일,0,0,0,2|6,신당,00,2,65
2013-05-06,월,0,1,1,2|6,신당,00,42,196
2013-05-07,화,0,2,1,2|6,신당,00,114,248
2013-05-08,수,0,3,1,2|6,신당,00,90,289
2013-05-09,목,0,4,1,2|6,신당,00,93,303
2013-05-10,금,0,5,1,2|6,신당,00,191,337
2013-05-11,토,0,6,0,2|6,신당,00,89,180
2013-05-12,일,0,0,0,2|6,신당,00,0,52
2013-05-13,월,0,1,1,2|6,신당,00,58,236
2013-05-14,화,0,2,1,2|6,신당,00,119,323
2013-05-15,수,0,3,1,2|6,신당,00,137,393
2013-05-16,목,0,4,1,2|6,신당,00,141,416
2013-05-17,공,1,5,0,2|6,신당,00,67,145
2013-05-18,토,0,6,0,2|6,신당,00,7,134
2013-05-19,일,0,0,0,2|6,신당,00,0,9
2013-05-20,월,0,1,1,2|6,신당,00,60,211
2013-05-21,화,0,2,1,2|6,신당,00,109,307
2013-05-22,수,0,3,1,2|6,신당,00,110,320
2013-05-23,목,0,4,1,2|6,신당,00,117,348
2013-05-24,금,0,5,1,2|6,신당,00,149,373
2013-05-25,토,0,6,0,2|6,신당,00,54,235
2013-05-26,일,0,0,0,2|6,신당,00,3,21
2013-05-27,월,0,1,1,2|6,신당,00,43,177
2013-05-28,화,0,2,1,2|6,신당,00,100,275
2013-05-29,수,0,3,1,2|6,신당,00,104,307
2013-05-30,목,0,4,1,2|6,신당,00,126,386
2013-05-31,금,0,5,1,2|6,신당,00,138,392
2013-06-01,토,0,6,0,2|6,신당,00,71,128
2013-06-02,일,0,0,0,2|6,신당,00,1,53
2013-06-03,월,0,1,1,2|6,신당,00,40,181
2013-06-04,화,0,2,1,2|6,신당,00,98,269
2013-06-05,수,0,3,1,2|6,신당,00,110,380
2013-06-06,공,1,4,0,2|6,신당,00,73,128
2013-06-07,금,0,5,1,2|6,신당,00,59,229
2013-06-08,토,0,6,0,2|6,신당,00,85,102
2013-06-09,일,0,0,0,2|6,신당,00,0,34
2013-06-10,월,0,1,1,2|6,신당,00,38,193
2013-06-11,화,0,2,1,2|6,신당,00,96,291
2013-06-12,수,0,3,1,2|6,신당,00,91,265
2013-06-13,목,0,4,1,2|6,신당,00,110,278
2013-06-14,금,0,5,1,2|6,신당,00,130,404
2013-06-15,토,0,6,0,2|6,신당,00,73,105
2013-06-16,일,0,0,0,2|6,신당,00,1,40
2013-06-17,월,0,1,1,2|6,신당,00,45,132
2013-06-18,화,0,2,1,2|6,신당,00,92,235
2013-06-19,수,0,3,1,2|6,신당,00,107,287
2013-06-20,목,0,4,1,2|6,신당,00,109,308
2013-06-21,금,0,5,1,2|6,신당,00,132,406
2013-06-22,토,0,6,0,2|6,신당,00,62,150
2013-06-23,일,0,0,0,2|6,신당,00,0,50
2013-06-24,월,0,1,1,2|6,신당,00,48,173
2013-06-25,화,0,2,1,2|6,신당,00,98,236
2013-06-26,수,0,3,1,2|6,신당,00,102,279
2013-06-27,목,0,4,1,2|6,신당,00,125,336
2013-06-28,금,0,5,1,2|6,신당,00,119,354
2013-06-29,토,0,6,0,2|6,신당,00,68,137
2013-06-30,일,0,0,0,2|6,신당,00,0,43
2013-07-01,월,0,1,1,2|6,신당,00,42,172
2013-07-02,화,0,2,1,2|6,신당,00,88,219
2013-07-03,수,0,3,1,2|6,신당,00,103,286
2013-07-04,목,0,4,1,2|6,신당,00,89,247
2013-07-05,금,0,5,1,2|6,신당,00,109,363
2013-07-06,토,0,6,0,2|6,신당,00,86,152
2013-07-07,일,0,0,0,2|6,신당,00,0,44
2013-07-08,월,0,1,1,2|6,신당,00,41,168
2013-07-09,화,0,2,1,2|6,신당,00,82,233
2013-07-10,수,0,3,1,2|6,신당,00,117,275
2013-07-11,목,0,4,1,2|6,신당,00,97,277
2013-07-12,금,0,5,1,2|6,신당,00,106,323
2013-07-13,토,0,6,0,2|6,신당,00,59,109
2013-07-14,일,0,0,0,2|6,신당,00,0,25
2013-07-15,월,0,1,1,2|6,신당,00,39,208
2013-07-16,화,0,2,1,2|6,신당,00,82,249
2013-07-17,수,0,3,1,2|6,신당,00,102,279
2013-07-18,목,0,4,1,2|6,신당,00,102,321
2013-07-19,금,0,5,1,2|6,신당,00,114,339
2013-07-20,토,0,6,0,2|6,신당,00,70,118
2013-07-21,일,0,0,0,2|6,신당,00,0,45
2013-07-22,월,0,1,1,2|6,신당,00,44,157
2013-07-23,화,0,2,1,2|6,신당,00,88,261
2013-07-24,수,0,3,1,2|6,신당,00,114,259
2013-07-25,목,0,4,1,2|6,신당,00,110,313
2013-07-26,금,0,5,1,2|6,신당,00,100,368
2013-07-27,토,0,6,0,2|6,신당,00,59,132
2013-07-28,일,0,0,0,2|6,신당,00,1,48
2013-07-29,월,0,1,1,2|6,신당,00,48,164
2013-07-30,화,0,2,1,2|6,신당,00,85,243
2013-07-31,수,0,3,1,2|6,신당,00,92,273
2013-08-01,목,0,4,1,2|6,신당,00,86,275
2013-08-02,금,0,5,1,2|6,신당,00,100,300
2013-08-03,토,0,6,0,2|6,신당,00,58,127
2013-08-04,일,0,0,0,2|6,신당,00,1,43
2013-08-05,월,0,1,1,2|6,신당,00,37,156
2013-08-06,화,0,2,1,2|6,신당,00,64,222
2013-08-07,수,0,3,1,2|6,신당,00,71,242
2013-08-08,목,0,4,1,2|6,신당,00,55,249
2013-08-09,금,0,5,1,2|6,신당,00,72,280
2013-08-10,토,0,6,0,2|6,신당,00,70,125
2013-08-11,일,0,0,0,2|6,신당,00,0,22
2013-08-12,월,0,1,1,2|6,신당,00,37,138
2013-08-13,화,0,2,1,2|6,신당,00,68,225
2013-08-14,수,0,3,1,2|6,신당,00,63,292
2013-08-15,공,1,4,0,2|6,신당,00,39,73
2013-08-16,금,0,5,1,2|6,신당,00,39,186
2013-08-17,토,0,6,0,2|6,신당,00,42,85
2013-08-18,일,0,0,0,2|6,신당,00,1,47
2013-08-19,월,0,1,1,2|6,신당,00,30,171
2013-08-20,화,0,2,1,2|6,신당,00,75,229
2013-08-21,수,0,3,1,2|6,신당,00,79,317
2013-08-22,목,0,4,1,2|6,신당,00,84,259
2013-08-23,금,0,5,1,2|6,신당,00,112,293
2013-08-24,토,0,6,0,2|6,신당,00,78,115
2013-08-25,일,0,0,0,2|6,신당,00,0,16
2013-08-26,월,0,1,1,2|6,신당,00,34,161
2013-08-27,화,0,2,1,2|6,신당,00,64,277
