2013-01-01,공,1,2,0,3|6,연신내,00,144,345
2013-01-02,수,0,3,1,3|6,연신내,00,106,737
2013-01-03,목,0,4,1,3|6,연신내,00,137,877
2013-01-04,금,0,5,1,3|6,연신내,00,180,1118
2013-01-05,토,0,6,0,3|6,연신내,00,54,372
2013-01-06,일,0,0,0,3|6,연신내,00,1,118
2013-01-07,월,0,1,1,3|6,연신내,00,98,724
2013-01-08,화,0,2,1,3|6,연신내,00,126,857
2013-01-09,수,0,3,1,3|6,연신내,00,127,840
2013-01-10,목,0,4,1,3|6,연신내,00,134,978
2013-01-11,금,0,5,1,3|6,연신내,00,214,1270
2013-01-12,토,0,6,0,3|6,연신내,00,36,324
2013-01-13,일,0,0,0,3|6,연신내,00,0,189
2013-01-14,월,0,1,1,3|6,연신내,00,104,759
2013-01-15,화,0,2,1,3|6,연신내,00,154,932
2013-01-16,수,0,3,1,3|6,연신내,00,120,940
2013-01-17,목,0,4,1,3|6,연신내,00,135,931
2013-01-18,금,0,5,1,3|6,연신내,00,170,1242
2013-01-19,토,0,6,0,3|6,연신내,00,22,355
2013-01-20,일,0,0,0,3|6,연신내,00,0,106
2013-01-21,월,0,1,1,3|6,연신내,00,74,717
2013-01-22,화,0,2,1,3|6,연신내,00,125,969
2013-01-23,수,0,3,1,3|6,연신내,00,138,931
2013-01-24,목,0,4,1,3|6,연신내,00,142,971
2013-01-25,금,0,5,1,3|6,연신내,00,170,1161
2013-01-26,토,0,6,0,3|6,연신내,00,31,331
2013-01-27,일,0,0,0,3|6,연신내,00,0,126
2013-01-28,월,0,1,1,3|6,연신내,00,107,687
2013-01-29,화,0,2,1,3|6,연신내,00,155,940
2013-01-30,수,0,3,1,3|6,연신내,00,155,972
2013-01-31,목,0,4,1,3|6,연신내,00,117,1001
2013-02-01,금,0,5,1,3|6,연신내,00,170,1106
2013-02-02,토,0,6,0,3|6,연신내,00,23,328
2013-02-03,일,0,0,0,3|6,연신내,00,0,140
2013-02-04,월,0,1,1,3|6,연신내,00,128,858
2013-02-05,화,0,2,1,3|6,연신내,00,145,1043
2013-02-06,수,0,3,1,3|6,연신내,00,137,1025
2013-02-07,목,0,4,1,3|6,연신내,00,137,1037
2013-02-08,금,0,5,1,3|6,연신내,00,150,848
2013-02-09,공,1,6,0,3|6,연신내,00,26,170
2013-02-10,공,1,0,0,3|6,연신내,00,99,223
2013-02-11,공,1,1,0,3|6,연신내,00,139,386
2013-02-12,화,0,2,1,3|6,연신내,00,114,685
2013-02-13,수,0,3,1,3|6,연신내,00,136,906
2013-02-14,목,0,4,1,3|6,연신내,00,136,1025
2013-02-15,금,0,5,1,3|6,연신내,00,178,1302
2013-02-16,토,0,6,0,3|6,연신내,00,52,326
2013-02-17,일,0,0,0,3|6,연신내,00,2,155
2013-02-18,월,0,1,1,3|6,연신내,00,93,722
2013-02-19,화,0,2,1,3|6,연신내,00,132,828
2013-02-20,수,0,3,1,3|6,연신내,00,137,939
2013-02-21,목,0,4,1,3|6,연신내,00,158,1033
2013-02-22,금,0,5,1,3|6,연신내,00,202,1268
2013-02-23,토,0,6,0,3|6,연신내,00,38,305
2013-02-24,일,0,0,0,3|6,연신내,00,4,141
2013-02-25,월,0,1,1,3|6,연신내,00,98,779
2013-02-26,화,0,2,1,3|6,연신내,00,131,948
2013-02-27,수,0,3,1,3|6,연신내,00,152,972
2013-02-28,목,0,4,1,3|6,연신내,00,186,1383
2013-03-01,공,1,5,0,3|6,연신내,00,70,391
2013-03-02,토,0,6,0,3|6,연신내,00,1,164
2013-03-03,일,0,0,0,3|6,연신내,00,0,108
2013-03-04,월,0,1,1,3|6,연신내,00,108,759
2013-03-05,화,0,2,1,3|6,연신내,00,140,898
2013-03-06,수,0,3,1,3|6,연신내,00,159,968
2013-03-07,목,0,4,1,3|6,연신내,00,139,966
2013-03-08,금,0,5,1,3|6,연신내,00,214,1370
2013-03-09,토,0,6,0,3|6,연신내,00,42,407
2013-03-10,일,0,0,0,3|6,연신내,00,6,102
2013-03-11,월,0,1,1,3|6,연신내,00,103,892
2013-03-12,화,0,2,1,3|6,연신내,00,102,934
2013-03-13,수,0,3,1,3|6,연신내,00,144,963
2013-03-14,목,0,4,1,3|6,연신내,00,133,1091
2013-03-15,금,0,5,1,3|6,연신내,00,185,1437
2013-03-16,토,0,6,0,3|6,연신내,00,35,321
2013-03-17,일,0,0,0,3|6,연신내,00,4,149
2013-03-18,월,0,1,1,3|6,연신내,00,102,707
2013-03-19,화,0,2,1,3|6,연신내,00,114,874
2013-03-20,수,0,3,1,3|6,연신내,00,139,950
2013-03-21,목,0,4,1,3|6,연신내,00,142,1011
2013-03-22,금,0,5,1,3|6,연신내,00,203,1335
2013-03-23,토,0,6,0,3|6,연신내,00,52,321
2013-03-24,일,0,0,0,3|6,연신내,00,3,196
2013-03-25,월,0,1,1,3|6,연신내,00,105,765
2013-03-26,화,0,2,1,3|6,연신내,00,111,927
2013-03-27,수,0,3,1,3|6,연신내,00,143,1043
2013-03-28,목,0,4,1,3|6,연신내,00,129,1081
2013-03-29,금,0,5,1,3|6,연신내,00,148,1383
2013-03-30,토,0,6,0,3|6,연신내,00,29,363
2013-03-31,일,0,0,0,3|6,연신내,00,5,89
2013-04-01,월,0,1,1,3|6,연신내,00,117,740
2013-04-02,화,0,2,1,3|6,연신내,00,130,998
2013-04-03,수,0,3,1,3|6,연신내,00,142,999
2013-04-04,목,0,4,1,3|6,연신내,00,151,1125
2013-04-05,금,0,5,1,3|6,연신내,00,195,1318
2013-04-06,토,0,6,0,3|6,연신내,00,53,317
2013-04-07,일,0,0,0,3|6,연신내,00,8,238
2013-04-08,월,0,1,1,3|6,연신내,00,81,722
2013-04-09,화,0,2,1,3|6,연신내,00,130,946
2013-04-10,수,0,3,1,3|6,연신내,00,149,962
2013-04-11,목,0,4,1,3|6,연신내,00,167,1023
2013-04-12,금,0,5,1,3|6,연신내,00,225,1279
2013-04-13,토,0,6,0,3|6,연신내,00,51,395
2013-04-14,일,0,0,0,3|6,연신내,00,8,84
2013-04-15,월,0,1,1,3|6,연신내,00,93,792
2013-04-16,화,0,2,1,3|6,연신내,00,114,968
2013-04-17,수,0,3,1,3|6,연신내,00,136,980
2013-04-18,목,0,4,1,3|6,연신내,00,143,1076
2013-04-19,금,0,5,1,3|6,연신내,00,199,1300
2013-04-20,토,0,6,0,3|6,연신내,00,44,399
2013-04-21,일,0,0,0,3|6,연신내,00,0,119
2013-04-22,월,0,1,1,3|6,연신내,00,79,772
2013-04-23,화,0,2,1,3|6,연신내,00,119,916
2013-04-24,수,0,3,1,3|6,연신내,00,107,972
2013-04-25,목,0,4,1,3|6,연신내,00,163,1065
2013-04-26,금,0,5,1,3|6,연신내,00,206,1417
2013-04-27,토,0,6,0,3|6,연신내,00,48,385
2013-04-28,일,0,0,0,3|6,연신내,00,4,215
2013-04-29,월,0,1,1,3|6,연신내,00,122,800
2013-04-30,화,0,2,1,3|6,연신내,00,145,1258
2013-05-01,수,0,3,1,3|6,연신내,00,168,839
2013-05-02,목,0,4,1,3|6,연신내,00,126,1006
2013-05-03,금,0,5,1,3|6,연신내,00,188,1345
2013-05-04,토,0,6,0,3|6,연신내,00,38,348
2013-05-05,일,0,0,0,3|6,연신내,00,1,129
2013-05-06,월,0,1,1,3|6,연신내,00,76,782
2013-05-07,화,0,2,1,3|6,연신내,00,128,1007
2013-05-08,수,0,3,1,3|6,연신내,00,119,857
2013-05-09,목,0,4,1,3|6,연신내,00,144,1051
2013-05-10,금,0,5,1,3|6,연신내,00,168,1334
2013-05-11,토,0,6,0,3|6,연신내,00,41,385
2013-05-12,일,0,0,0,3|6,연신내,00,5,161
2013-05-13,월,0,1,1,3|6,연신내,00,89,831
2013-05-14,화,0,2,1,3|6,연신내,00,146,1113
2013-05-15,수,0,3,1,3|6,연신내,00,156,1311
2013-05-16,목,0,4,1,3|6,연신내,00,171,1531
2013-05-17,공,1,5,0,3|6,연신내,00,39,433
2013-05-18,토,0,6,0,3|6,연신내,00,1,166
2013-05-19,일,0,0,0,3|6,연신내,00,2,191
2013-05-20,월,0,1,1,3|6,연신내,00,117,848
2013-05-21,화,0,2,1,3|6,연신내,00,133,1047
2013-05-22,수,0,3,1,3|6,연신내,00,134,1142
2013-05-23,목,0,4,1,3|6,연신내,00,139,1154
2013-05-24,금,0,5,1,3|6,연신내,00,164,1445
2013-05-25,토,0,6,0,3|6,연신내,00,50,420
2013-05-26,일,0,0,0,3|6,연신내,00,7,159
2013-05-27,월,0,1,1,3|6,연신내,00,61,702
2013-05-28,화,0,2,1,3|6,연신내,00,125,967
2013-05-29,수,0,3,1,3|6,연신내,00,125,1073
2013-05-30,목,0,4,1,3|6,연신내,00,158,1186
2013-05-31,금,0,5,1,3|6,연신내,00,184,1520
2013-06-01,토,0,6,0,3|6,연신내,00,56,501
2013-06-02,일,0,0,0,3|6,연신내,00,0,243
2013-06-03,월,0,1,1,3|6,연신내,00,109,776
2013-06-04,화,0,2,1,3|6,연신내,00,120,886
2013-06-05,수,0,3,1,3|6,연신내,00,181,1382
2013-06-06,공,1,4,0,3|6,연신내,00,41,362
2013-06-07,금,0,5,1,3|6,연신내,00,149,1057
2013-06-08,토,0,6,0,3|6,연신내,00,70,339
2013-06-09,일,0,0,0,3|6,연신내,00,1,148
2013-06-10,월,0,1,1,3|6,연신내,00,120,789
2013-06-11,화,0,2,1,3|6,연신내,00,145,920
2013-06-12,수,0,3,1,3|6,연신내,00,115,973
2013-06-13,목,0,4,1,3|6,연신내,00,123,1070
2013-06-14,금,0,5,1,3|6,연신내,00,191,1433
2013-06-15,토,0,6,0,3|6,연신내,00,47,466
2013-06-16,일,0,0,0,3|6,연신내,00,1,115
2013-06-17,월,0,1,1,3|6,연신내,00,79,743
2013-06-18,화,0,2,1,3|6,연신내,00,114,919
2013-06-19,수,0,3,1,3|6,연신내,00,111,1073
2013-06-20,목,0,4,1,3|6,연신내,00,181,1128
2013-06-21,금,0,5,1,3|6,연신내,00,169,1463
2013-06-22,토,0,6,0,3|6,연신내,00,36,425
2013-06-23,일,0,0,0,3|6,연신내,00,2,137
2013-06-24,월,0,1,1,3|6,연신내,00,117,816
2013-06-25,화,0,2,1,3|6,연신내,00,129,949
2013-06-26,수,0,3,1,3|6,연신내,00,115,1025
2013-06-27,목,0,4,1,3|6,연신내,00,148,1089
