2013-01-01,공,1,2,0,2|5,영등포구청,00,44,109
2013-01-02,수,0,3,1,2|5,영등포구청,00,73,229
2013-01-03,목,0,4,1,2|5,영등포구청,00,72,262
2013-01-04,금,0,5,1,2|5,영등포구청,00,143,381
2013-01-05,토,0,6,0,2|5,영등포구청,00,19,63
2013-01-06,일,0,0,0,2|5,영등포구청,00,0,13
2013-01-07,월,0,1,1,2|5,영등포구청,00,53,200
2013-01-08,화,0,2,1,2|5,영등포구청,00,78,246
2013-01-09,수,0,3,1,2|5,영등포구청,00,68,287
2013-01-10,목,0,4,1,2|5,영등포구청,00,92,296
2013-01-11,금,0,5,1,2|5,영등포구청,00,102,436
2013-01-12,토,0,6,0,2|5,영등포구청,00,13,147
2013-01-13,일,0,0,0,2|5,영등포구청,00,0,19
2013-01-14,월,0,1,1,2|5,영등포구청,00,69,228
2013-01-15,화,0,2,1,2|5,영등포구청,00,88,285
2013-01-16,수,0,3,1,2|5,영등포구청,00,108,270
2013-01-17,목,0,4,1,2|5,영등포구청,00,101,319
2013-01-18,금,0,5,1,2|5,영등포구청,00,135,427
2013-01-19,토,0,6,0,2|5,영등포구청,00,17,79
2013-01-20,일,0,0,0,2|5,영등포구청,00,0,14
2013-01-21,월,0,1,1,2|5,영등포구청,00,63,233
2013-01-22,화,0,2,1,2|5,영등포구청,00,104,237
2013-01-23,수,0,3,1,2|5,영등포구청,00,84,276
2013-01-24,목,0,4,1,2|5,영등포구청,00,108,293
2013-01-25,금,0,5,1,2|5,영등포구청,00,97,415
2013-01-26,토,0,6,0,2|5,영등포구청,00,14,81
2013-01-27,일,0,0,0,2|5,영등포구청,00,0,16
2013-01-28,월,0,1,1,2|5,영등포구청,00,79,240
2013-01-29,화,0,2,1,2|5,영등포구청,00,96,304
2013-01-30,수,0,3,1,2|5,영등포구청,00,95,340
2013-01-31,목,0,4,1,2|5,영등포구청,00,114,303
2013-02-01,금,0,5,1,2|5,영등포구청,00,110,380
2013-02-02,토,0,6,0,2|5,영등포구청,00,21,68
2013-02-03,일,0,0,0,2|5,영등포구청,00,1,100
2013-02-04,월,0,1,1,2|5,영등포구청,00,91,243
2013-02-05,화,0,2,1,2|5,영등포구청,00,126,350
2013-02-06,수,0,3,1,2|5,영등포구청,00,103,304
2013-02-07,목,0,4,1,2|5,영등포구청,00,96,329
2013-02-08,금,0,5,1,2|5,영등포구청,00,89,203
2013-02-09,공,1,6,0,2|5,영등포구청,00,10,24
2013-02-10,공,1,0,0,2|5,영등포구청,00,29,51
2013-02-11,공,1,1,0,2|5,영등포구청,00,27,109
2013-02-12,화,0,2,1,2|5,영등포구청,00,57,199
2013-02-13,수,0,3,1,2|5,영등포구청,00,99,336
2013-02-14,목,0,4,1,2|5,영등포구청,00,91,341
2013-02-15,금,0,5,1,2|5,영등포구청,00,95,385
2013-02-16,토,0,6,0,2|5,영등포구청,00,14,134
2013-02-17,일,0,0,0,2|5,영등포구청,00,0,19
2013-02-18,월,0,1,1,2|5,영등포구청,00,81,231
2013-02-19,화,0,2,1,2|5,영등포구청,00,71,282
2013-02-20,수,0,3,1,2|5,영등포구청,00,107,303
2013-02-21,목,0,4,1,2|5,영등포구청,00,114,351
2013-02-22,금,0,5,1,2|5,영등포구청,00,123,377
2013-02-23,토,0,6,0,2|5,영등포구청,00,20,196
2013-02-24,일,0,0,0,2|5,영등포구청,00,0,8
2013-02-25,월,0,1,1,2|5,영등포구청,00,79,241
2013-02-26,화,0,2,1,2|5,영등포구청,00,97,304
2013-02-27,수,0,3,1,2|5,영등포구청,00,96,343
2013-02-28,목,0,4,1,2|5,영등포구청,00,136,463
2013-03-01,공,1,5,0,2|5,영등포구청,00,22,136
2013-03-02,토,0,6,0,2|5,영등포구청,00,2,121
2013-03-03,일,0,0,0,2|5,영등포구청,00,0,13
2013-03-04,월,0,1,1,2|5,영등포구청,00,77,282
2013-03-05,화,0,2,1,2|5,영등포구청,00,90,291
2013-03-06,수,0,3,1,2|5,영등포구청,00,89,318
2013-03-07,목,0,4,1,2|5,영등포구청,00,114,388
2013-03-08,금,0,5,1,2|5,영등포구청,00,131,407
2013-03-09,토,0,6,0,2|5,영등포구청,00,14,164
2013-03-10,일,0,0,0,2|5,영등포구청,00,0,3
2013-03-11,월,0,1,1,2|5,영등포구청,00,65,250
2013-03-12,화,0,2,1,2|5,영등포구청,00,101,286
2013-03-13,수,0,3,1,2|5,영등포구청,00,71,286
2013-03-14,목,0,4,1,2|5,영등포구청,00,115,279
2013-03-15,금,0,5,1,2|5,영등포구청,00,143,438
2013-03-16,토,0,6,0,2|5,영등포구청,00,15,155
2013-03-17,일,0,0,0,2|5,영등포구청,00,1,67
2013-03-18,월,0,1,1,2|5,영등포구청,00,81,257
2013-03-19,화,0,2,1,2|5,영등포구청,00,97,309
2013-03-20,수,0,3,1,2|5,영등포구청,00,101,318
2013-03-21,목,0,4,1,2|5,영등포구청,00,91,345
2013-03-22,금,0,5,1,2|5,영등포구청,00,151,441
2013-03-23,토,0,6,0,2|5,영등포구청,00,14,186
2013-03-24,일,0,0,0,2|5,영등포구청,00,0,12
2013-03-25,월,0,1,1,2|5,영등포구청,00,72,247
2013-03-26,화,0,2,1,2|5,영등포구청,00,68,290
2013-03-27,수,0,3,1,2|5,영등포구청,00,100,296
2013-03-28,목,0,4,1,2|5,영등포구청,00,109,322
2013-03-29,금,0,5,1,2|5,영등포구청,00,142,475
2013-03-30,토,0,6,0,2|5,영등포구청,00,17,79
2013-03-31,일,0,0,0,2|5,영등포구청,00,0,9
2013-04-01,월,0,1,1,2|5,영등포구청,00,68,289
2013-04-02,화,0,2,1,2|5,영등포구청,00,89,280
2013-04-03,수,0,3,1,2|5,영등포구청,00,89,277
2013-04-04,목,0,4,1,2|5,영등포구청,00,83,332
2013-04-05,금,0,5,1,2|5,영등포구청,00,116,479
2013-04-06,토,0,6,0,2|5,영등포구청,00,13,92
2013-04-07,일,0,0,0,2|5,영등포구청,00,0,2
2013-04-08,월,0,1,1,2|5,영등포구청,00,61,229
2013-04-09,화,0,2,1,2|5,영등포구청,00,95,313
2013-04-10,수,0,3,1,2|5,영등포구청,00,71,296
2013-04-11,목,0,4,1,2|5,영등포구청,00,93,329
2013-04-12,금,0,5,1,2|5,영등포구청,00,115,376
2013-04-13,토,0,6,0,2|5,영등포구청,00,16,144
2013-04-14,일,0,0,0,2|5,영등포구청,00,0,18
2013-04-15,월,0,1,1,2|5,영등포구청,00,70,244
2013-04-16,화,0,2,1,2|5,영등포구청,00,89,248
2013-04-17,수,0,3,1,2|5,영등포구청,00,89,303
2013-04-18,목,0,4,1,2|5,영등포구청,00,106,338
