2013-01-01,공,1,2,0,3|5,오금,00,30,154
2013-01-02,수,0,3,1,3|5,오금,00,7,130
2013-01-03,목,0,4,1,3|5,오금,00,24,184
2013-01-04,금,0,5,1,3|5,오금,00,17,262
2013-01-05,토,0,6,0,3|5,오금,00,7,90
2013-01-06,일,0,0,0,3|5,오금,00,0,24
2013-01-07,월,0,1,1,3|5,오금,00,8,100
2013-01-08,화,0,2,1,3|5,오금,00,16,165
2013-01-09,수,0,3,1,3|5,오금,00,13,191
2013-01-10,목,0,4,1,3|5,오금,00,23,217
2013-01-11,금,0,5,1,3|5,오금,00,26,256
2013-01-12,토,0,6,0,3|5,오금,00,10,126
2013-01-13,일,0,0,0,3|5,오금,00,0,25
2013-01-14,월,0,1,1,3|5,오금,00,9,144
2013-01-15,화,0,2,1,3|5,오금,00,6,186
2013-01-16,수,0,3,1,3|5,오금,00,20,161
2013-01-17,목,0,4,1,3|5,오금,00,24,187
2013-01-18,금,0,5,1,3|5,오금,00,21,262
2013-01-19,토,0,6,0,3|5,오금,00,7,130
2013-01-20,일,0,0,0,3|5,오금,00,1,51
2013-01-21,월,0,1,1,3|5,오금,00,10,112
2013-01-22,화,0,2,1,3|5,오금,00,22,180
2013-01-23,수,0,3,1,3|5,오금,00,16,180
2013-01-24,목,0,4,1,3|5,오금,00,19,193
2013-01-25,금,0,5,1,3|5,오금,00,9,279
2013-01-26,토,0,6,0,3|5,오금,00,9,160
2013-01-27,일,0,0,0,3|5,오금,00,0,55
2013-01-28,월,0,1,1,3|5,오금,00,7,111
2013-01-29,화,0,2,1,3|5,오금,00,16,207
2013-01-30,수,0,3,1,3|5,오금,00,20,220
2013-01-31,목,0,4,1,3|5,오금,00,19,193
2013-02-01,금,0,5,1,3|5,오금,00,20,230
2013-02-02,토,0,6,0,3|5,오금,00,13,122
2013-02-03,일,0,0,0,3|5,오금,00,0,60
2013-02-04,월,0,1,1,3|5,오금,00,9,121
2013-02-05,화,0,2,1,3|5,오금,00,21,234
2013-02-06,수,0,3,1,3|5,오금,00,19,191
2013-02-07,목,0,4,1,3|5,오금,00,21,235
2013-02-08,금,0,5,1,3|5,오금,00,22,165
2013-02-09,공,1,6,0,3|5,오금,00,9,67
2013-02-10,공,1,0,0,3|5,오금,00,4,26
2013-02-11,공,1,1,0,3|5,오금,00,14,88
2013-02-12,화,0,2,1,3|5,오금,00,12,154
2013-02-13,수,0,3,1,3|5,오금,00,14,210
2013-02-14,목,0,4,1,3|5,오금,00,14,207
2013-02-15,금,0,5,1,3|5,오금,00,18,229
2013-02-16,토,0,6,0,3|5,오금,00,17,137
2013-02-17,일,0,0,0,3|5,오금,00,0,35
2013-02-18,월,0,1,1,3|5,오금,00,13,121
2013-02-19,화,0,2,1,3|5,오금,00,12,163
2013-02-20,수,0,3,1,3|5,오금,00,15,222
2013-02-21,목,0,4,1,3|5,오금,00,24,224
2013-02-22,금,0,5,1,3|5,오금,00,27,259
2013-02-23,토,0,6,0,3|5,오금,00,9,125
2013-02-24,일,0,0,0,3|5,오금,00,0,34
2013-02-25,월,0,1,1,3|5,오금,00,7,122
2013-02-26,화,0,2,1,3|5,오금,00,18,196
2013-02-27,수,0,3,1,3|5,오금,00,13,220
2013-02-28,목,0,4,1,3|5,오금,00,19,273
2013-03-01,공,1,5,0,3|5,오금,00,8,130
2013-03-02,토,0,6,0,3|5,오금,00,0,27
2013-03-03,일,0,0,0,3|5,오금,00,0,61
2013-03-04,월,0,1,1,3|5,오금,00,7,124
2013-03-05,화,0,2,1,3|5,오금,00,20,204
2013-03-06,수,0,3,1,3|5,오금,00,15,194
2013-03-07,목,0,4,1,3|5,오금,00,16,236
2013-03-08,금,0,5,1,3|5,오금,00,15,316
2013-03-09,토,0,6,0,3|5,오금,00,12,150
2013-03-10,일,0,0,0,3|5,오금,00,1,19
2013-03-11,월,0,1,1,3|5,오금,00,10,158
2013-03-12,화,0,2,1,3|5,오금,00,18,187
2013-03-13,수,0,3,1,3|5,오금,00,15,252
2013-03-14,목,0,4,1,3|5,오금,00,23,277
2013-03-15,금,0,5,1,3|5,오금,00,20,329
2013-03-16,토,0,6,0,3|5,오금,00,15,148
