2013-01-01,공,1,2,0,2|5,왕십리,00,126,759
2013-01-02,수,0,3,1,2|5,왕십리,00,126,393
2013-01-03,목,0,4,1,2|5,왕십리,00,150,375
2013-01-04,금,0,5,1,2|5,왕십리,00,224,554
2013-01-05,토,0,6,0,2|5,왕십리,00,57,193
2013-01-06,일,0,0,0,2|5,왕십리,00,0,193
2013-01-07,월,0,1,1,2|5,왕십리,00,100,316
2013-01-08,화,0,2,1,2|5,왕십리,00,139,352
2013-01-09,수,0,3,1,2|5,왕십리,00,158,317
2013-01-10,목,0,4,1,2|5,왕십리,00,211,419
2013-01-11,금,0,5,1,2|5,왕십리,00,224,548
2013-01-12,토,0,6,0,2|5,왕십리,00,62,152
2013-01-13,일,0,0,0,2|5,왕십리,00,0,172
2013-01-14,월,0,1,1,2|5,왕십리,00,100,369
2013-01-15,화,0,2,1,2|5,왕십리,00,175,385
2013-01-16,수,0,3,1,2|5,왕십리,00,142,377
2013-01-17,목,0,4,1,2|5,왕십리,00,168,388
2013-01-18,금,0,5,1,2|5,왕십리,00,252,549
2013-01-19,토,0,6,0,2|5,왕십리,00,55,162
2013-01-20,일,0,0,0,2|5,왕십리,00,1,225
2013-01-21,월,0,1,1,2|5,왕십리,00,144,329
2013-01-22,화,0,2,1,2|5,왕십리,00,174,360
2013-01-23,수,0,3,1,2|5,왕십리,00,168,426
2013-01-24,목,0,4,1,2|5,왕십리,00,146,398
2013-01-25,금,0,5,1,2|5,왕십리,00,231,578
2013-01-26,토,0,6,0,2|5,왕십리,00,56,242
2013-01-27,일,0,0,0,2|5,왕십리,00,0,214
2013-01-28,월,0,1,1,2|5,왕십리,00,117,408
2013-01-29,화,0,2,1,2|5,왕십리,00,178,397
2013-01-30,수,0,3,1,2|5,왕십리,00,201,418
2013-01-31,목,0,4,1,2|5,왕십리,00,211,477
2013-02-01,금,0,5,1,2|5,왕십리,00,252,522
2013-02-02,토,0,6,0,2|5,왕십리,00,44,138
2013-02-03,일,0,0,0,2|5,왕십리,00,5,261
2013-02-04,월,0,1,1,2|5,왕십리,00,146,406
2013-02-05,화,0,2,1,2|5,왕십리,00,167,444
2013-02-06,수,0,3,1,2|5,왕십리,00,210,452
2013-02-07,목,0,4,1,2|5,왕십리,00,157,452
2013-02-08,금,0,5,1,2|5,왕십리,00,143,331
2013-02-09,공,1,6,0,2|5,왕십리,00,34,100
2013-02-10,공,1,0,0,2|5,왕십리,00,42,184
2013-02-11,공,1,1,0,2|5,왕십리,00,85,221
2013-02-12,화,0,2,1,2|5,왕십리,00,151,344
2013-02-13,수,0,3,1,2|5,왕십리,00,166,443
2013-02-14,목,0,4,1,2|5,왕십리,00,184,475
2013-02-15,금,0,5,1,2|5,왕십리,00,238,569
2013-02-16,토,0,6,0,2|5,왕십리,00,55,164
2013-02-17,일,0,0,0,2|5,왕십리,00,0,173
2013-02-18,월,0,1,1,2|5,왕십리,00,106,359
2013-02-19,화,0,2,1,2|5,왕십리,00,160,363
2013-02-20,수,0,3,1,2|5,왕십리,00,193,383
2013-02-21,목,0,4,1,2|5,왕십리,00,231,452
2013-02-22,금,0,5,1,2|5,왕십리,00,251,575
2013-02-23,토,0,6,0,2|5,왕십리,00,60,272
2013-02-24,일,0,0,0,2|5,왕십리,00,5,201
2013-02-25,월,0,1,1,2|5,왕십리,00,145,374
2013-02-26,화,0,2,1,2|5,왕십리,00,170,436
2013-02-27,수,0,3,1,2|5,왕십리,00,200,459
2013-02-28,목,0,4,1,2|5,왕십리,00,267,541
2013-03-01,공,1,5,0,2|5,왕십리,00,57,318
2013-03-02,토,0,6,0,2|5,왕십리,00,2,192
2013-03-03,일,0,0,0,2|5,왕십리,00,1,201
2013-03-04,월,0,1,1,2|5,왕십리,00,142,356
2013-03-05,화,0,2,1,2|5,왕십리,00,210,372
2013-03-06,수,0,3,1,2|5,왕십리,00,233,379
2013-03-07,목,0,4,1,2|5,왕십리,00,233,460
2013-03-08,금,0,5,1,2|5,왕십리,00,402,660
2013-03-09,토,0,6,0,2|5,왕십리,00,66,284
2013-03-10,일,0,0,0,2|5,왕십리,00,0,230
2013-03-11,월,0,1,1,2|5,왕십리,00,156,357
2013-03-12,화,0,2,1,2|5,왕십리,00,211,475
2013-03-13,수,0,3,1,2|5,왕십리,00,222,451
2013-03-14,목,0,4,1,2|5,왕십리,00,285,484
2013-03-15,금,0,5,1,2|5,왕십리,00,386,635
2013-03-16,토,0,6,0,2|5,왕십리,00,56,221
2013-03-17,일,0,0,0,2|5,왕십리,00,2,270
2013-03-18,월,0,1,1,2|5,왕십리,00,191,370
2013-03-19,화,0,2,1,2|5,왕십리,00,233,411
2013-03-20,수,0,3,1,2|5,왕십리,00,234,395
2013-03-21,목,0,4,1,2|5,왕십리,00,264,450
2013-03-22,금,0,5,1,2|5,왕십리,00,356,713
2013-03-23,토,0,6,0,2|5,왕십리,00,64,201
2013-03-24,일,0,0,0,2|5,왕십리,00,0,247
2013-03-25,월,0,1,1,2|5,왕십리,00,184,395
2013-03-26,화,0,2,1,2|5,왕십리,00,230,428
2013-03-27,수,0,3,1,2|5,왕십리,00,242,489
2013-03-28,목,0,4,1,2|5,왕십리,00,253,476
2013-03-29,금,0,5,1,2|5,왕십리,00,369,650
2013-03-30,토,0,6,0,2|5,왕십리,00,71,223
2013-03-31,일,0,0,0,2|5,왕십리,00,0,182
2013-04-01,월,0,1,1,2|5,왕십리,00,172,411
2013-04-02,화,0,2,1,2|5,왕십리,00,197,363
2013-04-03,수,0,3,1,2|5,왕십리,00,233,461
2013-04-04,목,0,4,1,2|5,왕십리,00,258,482
2013-04-05,금,0,5,1,2|5,왕십리,00,311,642
2013-04-06,토,0,6,0,2|5,왕십리,00,65,247
2013-04-07,일,0,0,0,2|5,왕십리,00,2,178
2013-04-08,월,0,1,1,2|5,왕십리,00,122,345
2013-04-09,화,0,2,1,2|5,왕십리,00,165,390
2013-04-10,수,0,3,1,2|5,왕십리,00,189,425
2013-04-11,목,0,4,1,2|5,왕십리,00,253,451
2013-04-12,금,0,5,1,2|5,왕십리,00,272,691
2013-04-13,토,0,6,0,2|5,왕십리,00,59,233
2013-04-14,일,0,0,0,2|5,왕십리,00,1,243
2013-04-15,월,0,1,1,2|5,왕십리,00,98,354
2013-04-16,화,0,2,1,2|5,왕십리,00,131,386
2013-04-17,수,0,3,1,2|5,왕십리,00,156,356
2013-04-18,목,0,4,1,2|5,왕십리,00,203,506
2013-04-19,금,0,5,1,2|5,왕십리,00,329,652
2013-04-20,토,0,6,0,2|5,왕십리,00,56,214
2013-04-21,일,0,0,0,2|5,왕십리,00,0,181
2013-04-22,월,0,1,1,2|5,왕십리,00,159,397
2013-04-23,화,0,2,1,2|5,왕십리,00,204,349
2013-04-24,수,0,3,1,2|5,왕십리,00,229,452
2013-04-25,목,0,4,1,2|5,왕십리,00,281,480
2013-04-26,금,0,5,1,2|5,왕십리,00,367,643
2013-04-27,토,0,6,0,2|5,왕십리,00,54,185
2013-04-28,일,0,0,0,2|5,왕십리,00,1,289
2013-04-29,월,0,1,1,2|5,왕십리,00,188,441
2013-04-30,화,0,2,1,2|5,왕십리,00,277,577
2013-05-01,수,0,3,1,2|5,왕십리,00,250,415
2013-05-02,목,0,4,1,2|5,왕십리,00,285,519
2013-05-03,금,0,5,1,2|5,왕십리,00,350,648
2013-05-04,토,0,6,0,2|5,왕십리,00,58,302
2013-05-05,일,0,0,0,2|5,왕십리,00,4,209
2013-05-06,월,0,1,1,2|5,왕십리,00,129,422
2013-05-07,화,0,2,1,2|5,왕십리,00,255,425
2013-05-08,수,0,3,1,2|5,왕십리,00,206,374
2013-05-09,목,0,4,1,2|5,왕십리,00,263,522
2013-05-10,금,0,5,1,2|5,왕십리,00,325,665
2013-05-11,토,0,6,0,2|5,왕십리,00,65,344
2013-05-12,일,0,0,0,2|5,왕십리,00,0,283
2013-05-13,월,0,1,1,2|5,왕십리,00,205,483
2013-05-14,화,0,2,1,2|5,왕십리,00,257,602
2013-05-15,수,0,3,1,2|5,왕십리,00,222,684
2013-05-16,목,0,4,1,2|5,왕십리,00,370,817
2013-05-17,공,1,5,0,2|5,왕십리,00,61,242
2013-05-18,토,0,6,0,2|5,왕십리,00,16,403
2013-05-19,일,0,0,0,2|5,왕십리,00,0,194
2013-05-20,월,0,1,1,2|5,왕십리,00,207,441
2013-05-21,화,0,2,1,2|5,왕십리,00,390,456
2013-05-22,수,0,3,1,2|5,왕십리,00,290,418
2013-05-23,목,0,4,1,2|5,왕십리,00,294,584
2013-05-24,금,0,5,1,2|5,왕십리,00,418,728
2013-05-25,토,0,6,0,2|5,왕십리,00,55,194
2013-05-26,일,0,0,0,2|5,왕십리,00,5,305
2013-05-27,월,0,1,1,2|5,왕십리,00,164,337
2013-05-28,화,0,2,1,2|5,왕십리,00,226,379
2013-05-29,수,0,3,1,2|5,왕십리,00,213,492
2013-05-30,목,0,4,1,2|5,왕십리,00,262,566
2013-05-31,금,0,5,1,2|5,왕십리,00,321,675
2013-06-01,토,0,6,0,2|5,왕십리,00,55,286
2013-06-02,일,0,0,0,2|5,왕십리,00,0,263
2013-06-03,월,0,1,1,2|5,왕십리,00,154,407
2013-06-04,화,0,2,1,2|5,왕십리,00,197,455
2013-06-05,수,0,3,1,2|5,왕십리,00,314,643
2013-06-06,공,1,4,0,2|5,왕십리,00,71,200
2013-06-07,금,0,5,1,2|5,왕십리,00,242,715
2013-06-08,토,0,6,0,2|5,왕십리,00,62,204
2013-06-09,일,0,0,0,2|5,왕십리,00,0,235
2013-06-10,월,0,1,1,2|5,왕십리,00,119,403
2013-06-11,화,0,2,1,2|5,왕십리,00,149,382
2013-06-12,수,0,3,1,2|5,왕십리,00,199,434
2013-06-13,목,0,4,1,2|5,왕십리,00,190,456
2013-06-14,금,0,5,1,2|5,왕십리,00,349,693
2013-06-15,토,0,6,0,2|5,왕십리,00,74,211
2013-06-16,일,0,0,0,2|5,왕십리,00,5,211
2013-06-17,월,0,1,1,2|5,왕십리,00,118,344
2013-06-18,화,0,2,1,2|5,왕십리,00,174,379
2013-06-19,수,0,3,1,2|5,왕십리,00,277,451
2013-06-20,목,0,4,1,2|5,왕십리,00,229,506
2013-06-21,금,0,5,1,2|5,왕십리,00,244,704
2013-06-22,토,0,6,0,2|5,왕십리,00,62,197
2013-06-23,일,0,0,0,2|5,왕십리,00,0,218
2013-06-24,월,0,1,1,2|5,왕십리,00,125,394
2013-06-25,화,0,2,1,2|5,왕십리,00,179,402
2013-06-26,수,0,3,1,2|5,왕십리,00,205,465
2013-06-27,목,0,4,1,2|5,왕십리,00,220,520
2013-06-28,금,0,5,1,2|5,왕십리,00,257,672
2013-06-29,토,0,6,0,2|5,왕십리,00,61,236
2013-06-30,일,0,0,0,2|5,왕십리,00,1,258
2013-07-01,월,0,1,1,2|5,왕십리,00,123,417
2013-07-02,화,0,2,1,2|5,왕십리,00,130,368
2013-07-03,수,0,3,1,2|5,왕십리,00,155,406
2013-07-04,목,0,4,1,2|5,왕십리,00,160,409
2013-07-05,금,0,5,1,2|5,왕십리,00,237,594
2013-07-06,토,0,6,0,2|5,왕십리,00,56,174
2013-07-07,일,0,0,0,2|5,왕십리,00,5,253
2013-07-08,월,0,1,1,2|5,왕십리,00,137,344
2013-07-09,화,0,2,1,2|5,왕십리,00,211,415
2013-07-10,수,0,3,1,2|5,왕십리,00,173,427
2013-07-11,목,0,4,1,2|5,왕십리,00,184,424
2013-07-12,금,0,5,1,2|5,왕십리,00,250,593
2013-07-13,토,0,6,0,2|5,왕십리,00,60,176
2013-07-14,일,0,0,0,2|5,왕십리,00,1,300
2013-07-15,월,0,1,1,2|5,왕십리,00,108,395
2013-07-16,화,0,2,1,2|5,왕십리,00,169,388
2013-07-17,수,0,3,1,2|5,왕십리,00,150,402
2013-07-18,목,0,4,1,2|5,왕십리,00,161,520
2013-07-19,금,0,5,1,2|5,왕십리,00,209,549
2013-07-20,토,0,6,0,2|5,왕십리,00,50,156
2013-07-21,일,0,0,0,2|5,왕십리,00,0,228
2013-07-22,월,0,1,1,2|5,왕십리,00,128,425
2013-07-23,화,0,2,1,2|5,왕십리,00,152,339
2013-07-24,수,0,3,1,2|5,왕십리,00,208,436
2013-07-25,목,0,4,1,2|5,왕십리,00,206,492
2013-07-26,금,0,5,1,2|5,왕십리,00,248,627
2013-07-27,토,0,6,0,2|5,왕십리,00,66,162
2013-07-28,일,0,0,0,2|5,왕십리,00,4,206
2013-07-29,월,0,1,1,2|5,왕십리,00,128,364
2013-07-30,화,0,2,1,2|5,왕십리,00,180,369
2013-07-31,수,0,3,1,2|5,왕십리,00,157,430
2013-08-01,목,0,4,1,2|5,왕십리,00,169,471
2013-08-02,금,0,5,1,2|5,왕십리,00,270,481
2013-08-03,토,0,6,0,2|5,왕십리,00,53,173
2013-08-04,일,0,0,0,2|5,왕십리,00,0,136
2013-08-05,월,0,1,1,2|5,왕십리,00,139,368
2013-08-06,화,0,2,1,2|5,왕십리,00,172,376
2013-08-07,수,0,3,1,2|5,왕십리,00,150,399
2013-08-08,목,0,4,1,2|5,왕십리,00,177,408
2013-08-09,금,0,5,1,2|5,왕십리,00,211,536
2013-08-10,토,0,6,0,2|5,왕십리,00,55,144
2013-08-11,일,0,0,0,2|5,왕십리,00,0,161
2013-08-12,월,0,1,1,2|5,왕십리,00,136,354
2013-08-13,화,0,2,1,2|5,왕십리,00,154,370
2013-08-14,수,0,3,1,2|5,왕십리,00,218,526
2013-08-15,공,1,4,0,2|5,왕십리,00,52,388
2013-08-16,금,0,5,1,2|5,왕십리,00,145,528
2013-08-17,토,0,6,0,2|5,왕십리,00,53,169
2013-08-18,일,0,0,0,2|5,왕십리,00,1,218
2013-08-19,월,0,1,1,2|5,왕십리,00,118,380
2013-08-20,화,0,2,1,2|5,왕십리,00,169,381
2013-08-21,수,0,3,1,2|5,왕십리,00,186,352
2013-08-22,목,0,4,1,2|5,왕십리,00,159,428
2013-08-23,금,0,5,1,2|5,왕십리,00,227,532
2013-08-24,토,0,6,0,2|5,왕십리,00,38,174
2013-08-25,일,0,0,0,2|5,왕십리,00,0,192
2013-08-26,월,0,1,1,2|5,왕십리,00,135,410
2013-08-27,화,0,2,1,2|5,왕십리,00,201,339
2013-08-28,수,0,3,1,2|5,왕십리,00,155,457
2013-08-29,목,0,4,1,2|5,왕십리,00,174,383
2013-08-30,금,0,5,1,2|5,왕십리,00,258,621
2013-08-31,토,0,6,0,2|5,왕십리,00,53,175
2013-09-01,일,0,0,0,2|5,왕십리,00,0,203
2013-09-02,월,0,1,1,2|5,왕십리,00,159,370
2013-09-03,화,0,2,1,2|5,왕십리,00,166,386
2013-09-04,수,0,3,1,2|5,왕십리,00,187,416
2013-09-05,목,0,4,1,2|5,왕십리,00,249,459
2013-09-06,금,0,5,1,2|5,왕십리,00,382,676
2013-09-07,토,0,6,0,2|5,왕십리,00,54,202
2013-09-08,일,0,0,0,2|5,왕십리,00,0,165
2013-09-09,월,0,1,1,2|5,왕십리,00,175,372
2013-09-10,화,0,2,1,2|5,왕십리,00,188,403
2013-09-11,수,0,3,1,2|5,왕십리,00,216,440
2013-09-12,목,0,4,1,2|5,왕십리,00,271,469
2013-09-13,금,0,5,1,2|5,왕십리,00,353,694
2013-09-14,토,0,6,0,2|5,왕십리,00,59,213
2013-09-15,일,0,0,0,2|5,왕십리,00,0,190
2013-09-16,월,0,1,1,2|5,왕십리,00,192,440
2013-09-17,화,0,2,1,2|5,왕십리,00,246,413
2013-09-18,공,1,3,0,2|5,왕십리,00,38,113
2013-09-19,공,1,4,0,2|5,왕십리,00,0,136
2013-09-20,공,1,5,0,2|5,왕십리,00,85,279
2013-09-21,토,0,6,0,2|5,왕십리,00,75,221
2013-09-22,일,0,0,0,2|5,왕십리,00,20,99
2013-09-23,월,0,1,1,2|5,왕십리,00,172,385
2013-09-24,화,0,2,1,2|5,왕십리,00,221,372
2013-09-25,수,0,3,1,2|5,왕십리,00,210,423
2013-09-26,목,0,4,1,2|5,왕십리,00,309,476
2013-09-27,금,0,5,1,2|5,왕십리,00,399,722
2013-09-28,토,0,6,0,2|5,왕십리,00,51,255
2013-09-29,일,0,0,0,2|5,왕십리,00,0,178
2013-09-30,월,0,1,1,2|5,왕십리,00,184,414
2013-10-01,화,0,2,1,2|5,왕십리,00,228,394
2013-10-02,수,0,3,1,2|5,왕십리,00,319,653
2013-10-03,공,1,4,0,2|5,왕십리,00,50,153
2013-10-04,금,0,5,1,2|5,왕십리,00,234,530
2013-10-05,토,0,6,0,2|5,왕십리,00,53,373
2013-10-06,일,0,0,0,2|5,왕십리,00,0,306
2013-10-07,월,0,1,1,2|5,왕십리,00,139,335
2013-10-08,화,0,2,1,2|5,왕십리,00,245,488
2013-10-09,공,1,3,0,2|5,왕십리,00,53,161
2013-10-10,목,0,4,1,2|5,왕십리,00,161,514
2013-10-11,금,0,5,1,2|5,왕십리,00,281,471
2013-10-12,토,0,6,0,2|5,왕십리,00,73,332
2013-10-13,일,0,0,0,2|5,왕십리,00,0,246
2013-10-14,월,0,1,1,2|5,왕십리,00,150,340
2013-10-15,화,0,2,1,2|5,왕십리,00,149,331
2013-10-16,수,0,3,1,2|5,왕십리,00,170,378
2013-10-17,목,0,4,1,2|5,왕십리,00,202,420
2013-10-18,금,0,5,1,2|5,왕십리,00,270,606
2013-10-19,토,0,6,0,2|5,왕십리,00,47,186
2013-10-20,일,0,0,0,2|5,왕십리,00,3,225
2013-10-21,월,0,1,1,2|5,왕십리,00,140,373
2013-10-22,화,0,2,1,2|5,왕십리,00,165,344
2013-10-23,수,0,3,1,2|5,왕십리,00,223,391
2013-10-24,목,0,4,1,2|5,왕십리,00,204,407
2013-10-25,금,0,5,1,2|5,왕십리,00,326,519
2013-10-26,토,0,6,0,2|5,왕십리,00,55,205
2013-10-27,일,0,0,0,2|5,왕십리,00,2,209
2013-10-28,월,0,1,1,2|5,왕십리,00,154,371
2013-10-29,화,0,2,1,2|5,왕십리,00,194,414
2013-10-30,수,0,3,1,2|5,왕십리,00,256,489
2013-10-31,목,0,4,1,2|5,왕십리,00,255,542
2013-11-01,금,0,5,1,2|5,왕십리,00,282,662
2013-11-02,토,0,6,0,2|5,왕십리,00,64,260
2013-11-03,일,0,0,0,2|5,왕십리,00,0,230
2013-11-04,월,0,1,1,2|5,왕십리,00,162,398
2013-11-05,화,0,2,1,2|5,왕십리,00,189,392
2013-11-06,수,0,3,1,2|5,왕십리,00,188,419
2013-11-07,목,0,4,1,2|5,왕십리,00,269,442
2013-11-08,금,0,5,1,2|5,왕십리,00,328,645
2013-11-09,토,0,6,0,2|5,왕십리,00,49,248
2013-11-10,일,0,0,0,2|5,왕십리,00,2,194
2013-11-11,월,0,1,1,2|5,왕십리,00,173,422
2013-11-12,화,0,2,1,2|5,왕십리,00,184,374
2013-11-13,수,0,3,1,2|5,왕십리,00,215,424
2013-11-14,목,0,4,1,2|5,왕십리,00,226,388
2013-11-15,금,0,5,1,2|5,왕십리,00,292,620
2013-11-16,토,0,6,0,2|5,왕십리,00,47,208
2013-11-17,일,0,0,0,2|5,왕십리,00,0,246
2013-11-18,월,0,1,1,2|5,왕십리,00,158,369
2013-11-19,화,0,2,1,2|5,왕십리,00,190,346
2013-11-20,수,0,3,1,2|5,왕십리,00,196,401
2013-11-21,목,0,4,1,2|5,왕십리,00,225,423
2013-11-22,금,0,5,1,2|5,왕십리,00,331,687
2013-11-23,토,0,6,0,2|5,왕십리,00,46,286
2013-11-24,일,0,0,0,2|5,왕십리,00,0,213
2013-11-25,월,0,1,1,2|5,왕십리,00,154,331
2013-11-26,화,0,2,1,2|5,왕십리,00,209,417
2013-11-27,수,0,3,1,2|5,왕십리,00,239,391
2013-11-28,목,0,4,1,2|5,왕십리,00,252,392
2013-11-29,금,0,5,1,2|5,왕십리,00,370,692
2013-11-30,토,0,6,0,2|5,왕십리,00,94,164
2013-12-01,일,0,0,0,2|5,왕십리,00,2,188
2013-12-02,월,0,1,1,2|5,왕십리,00,160,356
2013-12-03,화,0,2,1,2|5,왕십리,00,209,380
2013-12-04,수,0,3,1,2|5,왕십리,00,233,451
2013-12-05,목,0,4,1,2|5,왕십리,00,221,470
2013-12-06,금,0,5,1,2|5,왕십리,00,304,572
2013-12-07,토,0,6,0,2|5,왕십리,00,54,192
2013-12-08,일,0,0,0,2|5,왕십리,00,0,247
2013-12-09,월,0,1,1,2|5,왕십리,00,109,347
2013-12-10,화,0,2,1,2|5,왕십리,00,164,462
2013-12-11,수,0,3,1,2|5,왕십리,00,183,427
2013-12-12,목,0,4,1,2|5,왕십리,00,231,516
2013-12-13,금,0,5,1,2|5,왕십리,00,367,728
2013-12-14,토,0,6,0,2|5,왕십리,00,77,261
2013-12-15,일,0,0,0,2|5,왕십리,00,5,254
2013-12-16,월,0,1,1,2|5,왕십리,00,153,365
2013-12-17,화,0,2,1,2|5,왕십리,00,180,528
2013-12-18,수,0,3,1,2|5,왕십리,00,287,426
2013-12-19,목,0,4,1,2|5,왕십리,00,269,604
2013-12-20,금,0,5,1,2|5,왕십리,00,350,800
2013-12-21,토,0,6,0,2|5,왕십리,00,85,581
2013-12-22,일,0,0,0,2|5,왕십리,00,6,214
2013-12-23,월,0,1,1,2|5,왕십리,00,224,565
2013-12-24,화,0,2,1,2|5,왕십리,00,273,753
2013-12-25,공,1,3,0,2|5,왕십리,00,76,269
2013-12-26,목,0,4,1,2|5,왕십리,00,219,642
2013-12-27,금,0,5,1,2|5,왕십리,00,346,710
2013-12-28,토,0,6,0,2|5,왕십리,00,94,198
2013-12-29,일,0,0,0,2|5,왕십리,00,1,260
2013-12-30,월,0,1,1,2|5,왕십리,00,180,547
2013-12-31,화,0,2,1,2|5,왕십리,00,447,900
2013-01-01,공,1,2,0,2|5,왕십리,01,0,0
2013-01-02,수,0,3,1,2|5,왕십리,01,0,0
2013-01-03,목,0,4,1,2|5,왕십리,01,0,17
2013-01-04,금,0,5,1,2|5,왕십리,01,0,1
2013-01-05,토,0,6,0,2|5,왕십리,01,0,0
2013-01-06,일,0,0,0,2|5,왕십리,01,0,0
2013-01-07,월,0,1,1,2|5,왕십리,01,0,0
2013-01-08,화,0,2,1,2|5,왕십리,01,0,0
2013-01-09,수,0,3,1,2|5,왕십리,01,0,2
2013-01-10,목,0,4,1,2|5,왕십리,01,0,0
2013-01-11,금,0,5,1,2|5,왕십리,01,0,2
2013-01-12,토,0,6,0,2|5,왕십리,01,0,0
2013-01-13,일,0,0,0,2|5,왕십리,01,0,0
2013-01-14,월,0,1,1,2|5,왕십리,01,0,0
2013-01-15,화,0,2,1,2|5,왕십리,01,0,0
2013-01-16,수,0,3,1,2|5,왕십리,01,0,1
2013-01-17,목,0,4,1,2|5,왕십리,01,0,5
2013-01-18,금,0,5,1,2|5,왕십리,01,1,1
2013-01-19,토,0,6,0,2|5,왕십리,01,0,0
