2013-01-01,공,1,2,0,2|5,을지로4가,00,44,53
2013-01-02,수,0,3,1,2|5,을지로4가,00,31,28
2013-01-03,목,0,4,1,2|5,을지로4가,00,50,66
2013-01-04,금,0,5,1,2|5,을지로4가,00,70,64
2013-01-05,토,0,6,0,2|5,을지로4가,00,30,17
2013-01-06,일,0,0,0,2|5,을지로4가,00,0,0
2013-01-07,월,0,1,1,2|5,을지로4가,00,34,29
2013-01-08,화,0,2,1,2|5,을지로4가,00,52,35
2013-01-09,수,0,3,1,2|5,을지로4가,00,60,32
2013-01-10,목,0,4,1,2|5,을지로4가,00,65,51
2013-01-11,금,0,5,1,2|5,을지로4가,00,48,53
2013-01-12,토,0,6,0,2|5,을지로4가,00,26,29
2013-01-13,일,0,0,0,2|5,을지로4가,00,0,1
2013-01-14,월,0,1,1,2|5,을지로4가,00,21,29
2013-01-15,화,0,2,1,2|5,을지로4가,00,53,44
2013-01-16,수,0,3,1,2|5,을지로4가,00,47,33
2013-01-17,목,0,4,1,2|5,을지로4가,00,66,46
2013-01-18,금,0,5,1,2|5,을지로4가,00,60,68
2013-01-19,토,0,6,0,2|5,을지로4가,00,19,15
2013-01-20,일,0,0,0,2|5,을지로4가,00,0,0
2013-01-21,월,0,1,1,2|5,을지로4가,00,30,21
2013-01-22,화,0,2,1,2|5,을지로4가,00,36,27
2013-01-23,수,0,3,1,2|5,을지로4가,00,34,33
2013-01-24,목,0,4,1,2|5,을지로4가,00,46,61
2013-01-25,금,0,5,1,2|5,을지로4가,00,62,80
2013-01-26,토,0,6,0,2|5,을지로4가,00,28,72
2013-01-27,일,0,0,0,2|5,을지로4가,00,1,6
2013-01-28,월,0,1,1,2|5,을지로4가,00,30,48
2013-01-29,화,0,2,1,2|5,을지로4가,00,50,45
2013-01-30,수,0,3,1,2|5,을지로4가,00,51,42
2013-01-31,목,0,4,1,2|5,을지로4가,00,61,47
2013-02-01,금,0,5,1,2|5,을지로4가,00,56,57
2013-02-02,토,0,6,0,2|5,을지로4가,00,27,24
2013-02-03,일,0,0,0,2|5,을지로4가,00,0,13
2013-02-04,월,0,1,1,2|5,을지로4가,00,47,34
2013-02-05,화,0,2,1,2|5,을지로4가,00,55,42
2013-02-06,수,0,3,1,2|5,을지로4가,00,64,41
2013-02-07,목,0,4,1,2|5,을지로4가,00,61,53
2013-02-08,금,0,5,1,2|5,을지로4가,00,40,44
2013-02-09,공,1,6,0,2|5,을지로4가,00,13,16
2013-02-10,공,1,0,0,2|5,을지로4가,00,3,13
2013-02-11,공,1,1,0,2|5,을지로4가,00,9,28
2013-02-12,화,0,2,1,2|5,을지로4가,00,26,40
2013-02-13,수,0,3,1,2|5,을지로4가,00,52,59
2013-02-14,목,0,4,1,2|5,을지로4가,00,53,66
2013-02-15,금,0,5,1,2|5,을지로4가,00,59,64
2013-02-16,토,0,6,0,2|5,을지로4가,00,30,23
2013-02-17,일,0,0,0,2|5,을지로4가,00,0,4
2013-02-18,월,0,1,1,2|5,을지로4가,00,27,20
2013-02-19,화,0,2,1,2|5,을지로4가,00,49,47
2013-02-20,수,0,3,1,2|5,을지로4가,00,66,56
2013-02-21,목,0,4,1,2|5,을지로4가,00,62,46
2013-02-22,금,0,5,1,2|5,을지로4가,00,67,65
2013-02-23,토,0,6,0,2|5,을지로4가,00,18,23
2013-02-24,일,0,0,0,2|5,을지로4가,00,0,0
2013-02-25,월,0,1,1,2|5,을지로4가,00,46,42
2013-02-26,화,0,2,1,2|5,을지로4가,00,68,38
2013-02-27,수,0,3,1,2|5,을지로4가,00,70,58
2013-02-28,목,0,4,1,2|5,을지로4가,00,81,75
2013-03-01,공,1,5,0,2|5,을지로4가,00,30,30
2013-03-02,토,0,6,0,2|5,을지로4가,00,0,12
2013-03-03,일,0,0,0,2|5,을지로4가,00,0,0
2013-03-04,월,0,1,1,2|5,을지로4가,00,27,33
2013-03-05,화,0,2,1,2|5,을지로4가,00,75,43
2013-03-06,수,0,3,1,2|5,을지로4가,00,76,49
2013-03-07,목,0,4,1,2|5,을지로4가,00,60,38
2013-03-08,금,0,5,1,2|5,을지로4가,00,73,63
2013-03-09,토,0,6,0,2|5,을지로4가,00,18,29
2013-03-10,일,0,0,0,2|5,을지로4가,00,0,1
2013-03-11,월,0,1,1,2|5,을지로4가,00,34,29
2013-03-12,화,0,2,1,2|5,을지로4가,00,65,51
2013-03-13,수,0,3,1,2|5,을지로4가,00,64,54
2013-03-14,목,0,4,1,2|5,을지로4가,00,55,48
2013-03-15,금,0,5,1,2|5,을지로4가,00,62,70
2013-03-16,토,0,6,0,2|5,을지로4가,00,21,37
2013-03-17,일,0,0,0,2|5,을지로4가,00,0,1
2013-03-18,월,0,1,1,2|5,을지로4가,00,38,27
2013-03-19,화,0,2,1,2|5,을지로4가,00,54,41
2013-03-20,수,0,3,1,2|5,을지로4가,00,36,38
2013-03-21,목,0,4,1,2|5,을지로4가,00,66,57
2013-03-22,금,0,5,1,2|5,을지로4가,00,69,77
2013-03-23,토,0,6,0,2|5,을지로4가,00,24,48
2013-03-24,일,0,0,0,2|5,을지로4가,00,0,4
2013-03-25,월,0,1,1,2|5,을지로4가,00,37,32
2013-03-26,화,0,2,1,2|5,을지로4가,00,72,47
2013-03-27,수,0,3,1,2|5,을지로4가,00,73,59
2013-03-28,목,0,4,1,2|5,을지로4가,00,79,55
2013-03-29,금,0,5,1,2|5,을지로4가,00,80,61
2013-03-30,토,0,6,0,2|5,을지로4가,00,27,21
2013-03-31,일,0,0,0,2|5,을지로4가,00,0,6
2013-04-01,월,0,1,1,2|5,을지로4가,00,38,43
2013-04-02,화,0,2,1,2|5,을지로4가,00,54,50
2013-04-03,수,0,3,1,2|5,을지로4가,00,65,51
2013-04-04,목,0,4,1,2|5,을지로4가,00,62,72
2013-04-05,금,0,5,1,2|5,을지로4가,00,90,76
2013-04-06,토,0,6,0,2|5,을지로4가,00,14,37
2013-04-07,일,0,0,0,2|5,을지로4가,00,0,1
2013-04-08,월,0,1,1,2|5,을지로4가,00,34,28
2013-04-09,화,0,2,1,2|5,을지로4가,00,51,44
2013-04-10,수,0,3,1,2|5,을지로4가,00,46,46
2013-04-11,목,0,4,1,2|5,을지로4가,00,53,49
2013-04-12,금,0,5,1,2|5,을지로4가,00,66,58
2013-04-13,토,0,6,0,2|5,을지로4가,00,25,17
2013-04-14,일,0,0,0,2|5,을지로4가,00,0,3
2013-04-15,월,0,1,1,2|5,을지로4가,00,39,41
2013-04-16,화,0,2,1,2|5,을지로4가,00,60,29
2013-04-17,수,0,3,1,2|5,을지로4가,00,60,42
2013-04-18,목,0,4,1,2|5,을지로4가,00,59,56
2013-04-19,금,0,5,1,2|5,을지로4가,00,68,58
2013-04-20,토,0,6,0,2|5,을지로4가,00,43,37
2013-04-21,일,0,0,0,2|5,을지로4가,00,0,4
2013-04-22,월,0,1,1,2|5,을지로4가,00,41,29
2013-04-23,화,0,2,1,2|5,을지로4가,00,65,40
2013-04-24,수,0,3,1,2|5,을지로4가,00,54,48
2013-04-25,목,0,4,1,2|5,을지로4가,00,57,47
2013-04-26,금,0,5,1,2|5,을지로4가,00,51,55
2013-04-27,토,0,6,0,2|5,을지로4가,00,25,22
2013-04-28,일,0,0,0,2|5,을지로4가,00,1,3
2013-04-29,월,0,1,1,2|5,을지로4가,00,34,32
2013-04-30,화,0,2,1,2|5,을지로4가,00,63,71
2013-05-01,수,0,3,1,2|5,을지로4가,00,43,39
2013-05-02,목,0,4,1,2|5,을지로4가,00,38,42
2013-05-03,금,0,5,1,2|5,을지로4가,00,79,49
2013-05-04,토,0,6,0,2|5,을지로4가,00,25,36
2013-05-05,일,0,0,0,2|5,을지로4가,00,0,0
2013-05-06,월,0,1,1,2|5,을지로4가,00,49,39
2013-05-07,화,0,2,1,2|5,을지로4가,00,40,36
2013-05-08,수,0,3,1,2|5,을지로4가,00,45,30
2013-05-09,목,0,4,1,2|5,을지로4가,00,55,47
2013-05-10,금,0,5,1,2|5,을지로4가,00,86,62
2013-05-11,토,0,6,0,2|5,을지로4가,00,24,22
