2013-01-01,공,1,2,0,2|8,잠실,00,195,177
2013-01-02,수,0,3,1,2|8,잠실,00,152,584
2013-01-03,목,0,4,1,2|8,잠실,00,220,808
2013-01-04,금,0,5,1,2|8,잠실,00,264,1166
2013-01-05,토,0,6,0,2|8,잠실,00,49,161
2013-01-06,일,0,0,0,2|8,잠실,00,0,65
2013-01-07,월,0,1,1,2|8,잠실,00,182,645
2013-01-08,화,0,2,1,2|8,잠실,00,246,713
2013-01-09,수,0,3,1,2|8,잠실,00,230,747
2013-01-10,목,0,4,1,2|8,잠실,00,236,799
2013-01-11,금,0,5,1,2|8,잠실,00,247,1217
2013-01-12,토,0,6,0,2|8,잠실,00,84,598
2013-01-13,일,0,0,0,2|8,잠실,00,2,80
2013-01-14,월,0,1,1,2|8,잠실,00,151,582
2013-01-15,화,0,2,1,2|8,잠실,00,222,789
2013-01-16,수,0,3,1,2|8,잠실,00,191,773
2013-01-17,목,0,4,1,2|8,잠실,00,218,772
2013-01-18,금,0,5,1,2|8,잠실,00,304,1167
2013-01-19,토,0,6,0,2|8,잠실,00,59,157
2013-01-20,일,0,0,0,2|8,잠실,00,0,74
2013-01-21,월,0,1,1,2|8,잠실,00,137,637
2013-01-22,화,0,2,1,2|8,잠실,00,228,808
2013-01-23,수,0,3,1,2|8,잠실,00,195,847
2013-01-24,목,0,4,1,2|8,잠실,00,221,947
2013-01-25,금,0,5,1,2|8,잠실,00,289,1087
2013-01-26,토,0,6,0,2|8,잠실,00,41,134
2013-01-27,일,0,0,0,2|8,잠실,00,0,49
2013-01-28,월,0,1,1,2|8,잠실,00,165,696
2013-01-29,화,0,2,1,2|8,잠실,00,240,739
2013-01-30,수,0,3,1,2|8,잠실,00,223,864
2013-01-31,목,0,4,1,2|8,잠실,00,281,918
2013-02-01,금,0,5,1,2|8,잠실,00,316,953
2013-02-02,토,0,6,0,2|8,잠실,00,59,431
2013-02-03,일,0,0,0,2|8,잠실,00,1,164
2013-02-04,월,0,1,1,2|8,잠실,00,183,940
2013-02-05,화,0,2,1,2|8,잠실,00,251,1002
2013-02-06,수,0,3,1,2|8,잠실,00,231,994
2013-02-07,목,0,4,1,2|8,잠실,00,227,903
2013-02-08,금,0,5,1,2|8,잠실,00,219,774
2013-02-09,공,1,6,0,2|8,잠실,00,35,73
2013-02-10,공,1,0,0,2|8,잠실,00,69,220
2013-02-11,공,1,1,0,2|8,잠실,00,138,366
2013-02-12,화,0,2,1,2|8,잠실,00,185,626
2013-02-13,수,0,3,1,2|8,잠실,00,247,820
2013-02-14,목,0,4,1,2|8,잠실,00,264,833
2013-02-15,금,0,5,1,2|8,잠실,00,287,1529
2013-02-16,토,0,6,0,2|8,잠실,00,43,131
2013-02-17,일,0,0,0,2|8,잠실,00,1,64
2013-02-18,월,0,1,1,2|8,잠실,00,183,645
2013-02-19,화,0,2,1,2|8,잠실,00,195,745
2013-02-20,수,0,3,1,2|8,잠실,00,244,901
2013-02-21,목,0,4,1,2|8,잠실,00,259,993
2013-02-22,금,0,5,1,2|8,잠실,00,324,1239
2013-02-23,토,0,6,0,2|8,잠실,00,46,347
2013-02-24,일,0,0,0,2|8,잠실,00,3,96
2013-02-25,월,0,1,1,2|8,잠실,00,199,745
2013-02-26,화,0,2,1,2|8,잠실,00,276,849
2013-02-27,수,0,3,1,2|8,잠실,00,306,1091
2013-02-28,목,0,4,1,2|8,잠실,00,308,1455
2013-03-01,공,1,5,0,2|8,잠실,00,90,187
2013-03-02,토,0,6,0,2|8,잠실,00,0,82
2013-03-03,일,0,0,0,2|8,잠실,00,2,77
2013-03-04,월,0,1,1,2|8,잠실,00,182,594
2013-03-05,화,0,2,1,2|8,잠실,00,202,732
2013-03-06,수,0,3,1,2|8,잠실,00,222,879
2013-03-07,목,0,4,1,2|8,잠실,00,230,913
2013-03-08,금,0,5,1,2|8,잠실,00,311,1274
2013-03-09,토,0,6,0,2|8,잠실,00,67,181
2013-03-10,일,0,0,0,2|8,잠실,00,1,74
2013-03-11,월,0,1,1,2|8,잠실,00,173,697
2013-03-12,화,0,2,1,2|8,잠실,00,242,803
2013-03-13,수,0,3,1,2|8,잠실,00,233,856
2013-03-14,목,0,4,1,2|8,잠실,00,293,1042
2013-03-15,금,0,5,1,2|8,잠실,00,313,1415
2013-03-16,토,0,6,0,2|8,잠실,00,58,274
2013-03-17,일,0,0,0,2|8,잠실,00,3,88
2013-03-18,월,0,1,1,2|8,잠실,00,156,748
2013-03-19,화,0,2,1,2|8,잠실,00,198,797
2013-03-20,수,0,3,1,2|8,잠실,00,211,761
2013-03-21,목,0,4,1,2|8,잠실,00,243,1000
2013-03-22,금,0,5,1,2|8,잠실,00,302,1263
2013-03-23,토,0,6,0,2|8,잠실,00,61,137
2013-03-24,일,0,0,0,2|8,잠실,00,0,71
2013-03-25,월,0,1,1,2|8,잠실,00,192,620
2013-03-26,화,0,2,1,2|8,잠실,00,220,919
2013-03-27,수,0,3,1,2|8,잠실,00,230,917
2013-03-28,목,0,4,1,2|8,잠실,00,265,980
2013-03-29,금,0,5,1,2|8,잠실,00,347,1352
2013-03-30,토,0,6,0,2|8,잠실,00,58,486
2013-03-31,일,0,0,0,2|8,잠실,00,2,74
2013-04-01,월,0,1,1,2|8,잠실,00,187,773
2013-04-02,화,0,2,1,2|8,잠실,00,231,774
2013-04-03,수,0,3,1,2|8,잠실,00,227,942
2013-04-04,목,0,4,1,2|8,잠실,00,250,952
2013-04-05,금,0,5,1,2|8,잠실,00,352,1352
2013-04-06,토,0,6,0,2|8,잠실,00,72,580
2013-04-07,일,0,0,0,2|8,잠실,00,2,45
2013-04-08,월,0,1,1,2|8,잠실,00,189,715
2013-04-09,화,0,2,1,2|8,잠실,00,222,703
2013-04-10,수,0,3,1,2|8,잠실,00,232,826
2013-04-11,목,0,4,1,2|8,잠실,00,276,909
2013-04-12,금,0,5,1,2|8,잠실,00,328,1451
2013-04-13,토,0,6,0,2|8,잠실,00,73,629
2013-04-14,일,0,0,0,2|8,잠실,00,10,63
2013-04-15,월,0,1,1,2|8,잠실,00,239,630
2013-04-16,화,0,2,1,2|8,잠실,00,259,763
2013-04-17,수,0,3,1,2|8,잠실,00,283,913
2013-04-18,목,0,4,1,2|8,잠실,00,309,977
2013-04-19,금,0,5,1,2|8,잠실,00,400,1273
2013-04-20,토,0,6,0,2|8,잠실,00,80,163
2013-04-21,일,0,0,0,2|8,잠실,00,4,68
2013-04-22,월,0,1,1,2|8,잠실,00,173,640
2013-04-23,화,0,2,1,2|8,잠실,00,221,692
2013-04-24,수,0,3,1,2|8,잠실,00,261,917
2013-04-25,목,0,4,1,2|8,잠실,00,267,990
2013-04-26,금,0,5,1,2|8,잠실,00,385,1405
2013-04-27,토,0,6,0,2|8,잠실,00,58,167
2013-04-28,일,0,0,0,2|8,잠실,00,1,74
2013-04-29,월,0,1,1,2|8,잠실,00,200,716
2013-04-30,화,0,2,1,2|8,잠실,00,332,1278
2013-05-01,수,0,3,1,2|8,잠실,00,228,740
