2013-01-01,공,1,2,0,4|3,충무로,00,1,69
2013-01-02,수,0,3,1,4|3,충무로,00,230,112
2013-01-03,목,0,4,1,4|3,충무로,00,241,128
2013-01-04,금,0,5,1,4|3,충무로,00,375,152
2013-01-05,토,0,6,0,4|3,충무로,00,1,57
2013-01-06,일,0,0,0,4|3,충무로,00,0,35
2013-01-07,월,0,1,1,4|3,충무로,00,216,106
2013-01-08,화,0,2,1,4|3,충무로,00,241,116
2013-01-09,수,0,3,1,4|3,충무로,00,228,109
2013-01-10,목,0,4,1,4|3,충무로,00,285,135
2013-01-11,금,0,5,1,4|3,충무로,00,393,203
2013-01-12,토,0,6,0,4|3,충무로,00,0,40
2013-01-13,일,0,0,0,4|3,충무로,00,0,33
2013-01-14,월,0,1,1,4|3,충무로,00,248,110
2013-01-15,화,0,2,1,4|3,충무로,00,249,121
2013-01-16,수,0,3,1,4|3,충무로,00,274,111
2013-01-17,목,0,4,1,4|3,충무로,00,296,115
2013-01-18,금,0,5,1,4|3,충무로,00,352,159
2013-01-19,토,0,6,0,4|3,충무로,00,0,67
2013-01-20,일,0,0,0,4|3,충무로,00,0,35
2013-01-21,월,0,1,1,4|3,충무로,00,231,134
2013-01-22,화,0,2,1,4|3,충무로,00,238,144
2013-01-23,수,0,3,1,4|3,충무로,00,239,139
2013-01-24,목,0,4,1,4|3,충무로,00,252,153
2013-01-25,금,0,5,1,4|3,충무로,00,290,256
2013-01-26,토,0,6,0,4|3,충무로,00,0,68
2013-01-27,일,0,0,0,4|3,충무로,00,0,23
2013-01-28,월,0,1,1,4|3,충무로,00,270,121
2013-01-29,화,0,2,1,4|3,충무로,00,237,135
2013-01-30,수,0,3,1,4|3,충무로,00,253,149
2013-01-31,목,0,4,1,4|3,충무로,00,314,164
2013-02-01,금,0,5,1,4|3,충무로,00,337,188
2013-02-02,토,0,6,0,4|3,충무로,00,8,69
2013-02-03,일,0,0,0,4|3,충무로,00,0,40
2013-02-04,월,0,1,1,4|3,충무로,00,323,127
2013-02-05,화,0,2,1,4|3,충무로,00,285,148
2013-02-06,수,0,3,1,4|3,충무로,00,304,145
2013-02-07,목,0,4,1,4|3,충무로,00,300,187
2013-02-08,금,0,5,1,4|3,충무로,00,137,86
2013-02-09,공,1,6,0,4|3,충무로,00,0,24
2013-02-10,공,1,0,0,4|3,충무로,00,19,45
2013-02-11,공,1,1,0,4|3,충무로,00,45,50
2013-02-12,화,0,2,1,4|3,충무로,00,210,116
2013-02-13,수,0,3,1,4|3,충무로,00,268,141
2013-02-14,목,0,4,1,4|3,충무로,00,256,192
2013-02-15,금,0,5,1,4|3,충무로,00,442,239
2013-02-16,토,0,6,0,4|3,충무로,00,0,79
2013-02-17,일,0,0,0,4|3,충무로,00,0,34
2013-02-18,월,0,1,1,4|3,충무로,00,285,115
2013-02-19,화,0,2,1,4|3,충무로,00,264,107
2013-02-20,수,0,3,1,4|3,충무로,00,376,105
2013-02-21,목,0,4,1,4|3,충무로,00,358,158
2013-02-22,금,0,5,1,4|3,충무로,00,384,190
2013-02-23,토,0,6,0,4|3,충무로,00,0,53
2013-02-24,일,0,0,0,4|3,충무로,00,0,8
2013-02-25,월,0,1,1,4|3,충무로,00,266,127
2013-02-26,화,0,2,1,4|3,충무로,00,296,154
2013-02-27,수,0,3,1,4|3,충무로,00,300,146
2013-02-28,목,0,4,1,4|3,충무로,00,465,209
2013-03-01,공,1,5,0,4|3,충무로,00,2,58
2013-03-02,토,0,6,0,4|3,충무로,00,0,35
