2013-01-01,공,1,2,0,2|5,충정로,00,59,146
2013-01-02,수,0,3,1,2|5,충정로,00,26,139
2013-01-03,목,0,4,1,2|5,충정로,00,64,184
2013-01-04,금,0,5,1,2|5,충정로,00,60,250
2013-01-05,토,0,6,0,2|5,충정로,00,14,68
2013-01-06,일,0,0,0,2|5,충정로,00,0,33
2013-01-07,월,0,1,1,2|5,충정로,00,25,116
2013-01-08,화,0,2,1,2|5,충정로,00,58,168
2013-01-09,수,0,3,1,2|5,충정로,00,37,173
2013-01-10,목,0,4,1,2|5,충정로,00,60,225
2013-01-11,금,0,5,1,2|5,충정로,00,75,256
2013-01-12,토,0,6,0,2|5,충정로,00,20,90
2013-01-13,일,0,0,0,2|5,충정로,00,1,42
2013-01-14,월,0,1,1,2|5,충정로,00,25,136
2013-01-15,화,0,2,1,2|5,충정로,00,35,170
2013-01-16,수,0,3,1,2|5,충정로,00,53,187
2013-01-17,목,0,4,1,2|5,충정로,00,63,197
2013-01-18,금,0,5,1,2|5,충정로,00,80,246
2013-01-19,토,0,6,0,2|5,충정로,00,20,58
2013-01-20,일,0,0,0,2|5,충정로,00,1,33
2013-01-21,월,0,1,1,2|5,충정로,00,42,125
2013-01-22,화,0,2,1,2|5,충정로,00,47,179
2013-01-23,수,0,3,1,2|5,충정로,00,52,176
2013-01-24,목,0,4,1,2|5,충정로,00,54,205
2013-01-25,금,0,5,1,2|5,충정로,00,71,253
2013-01-26,토,0,6,0,2|5,충정로,00,19,73
2013-01-27,일,0,0,0,2|5,충정로,00,1,43
2013-01-28,월,0,1,1,2|5,충정로,00,38,137
2013-01-29,화,0,2,1,2|5,충정로,00,63,169
2013-01-30,수,0,3,1,2|5,충정로,00,62,204
2013-01-31,목,0,4,1,2|5,충정로,00,76,209
2013-02-01,금,0,5,1,2|5,충정로,00,58,226
2013-02-02,토,0,6,0,2|5,충정로,00,15,78
2013-02-03,일,0,0,0,2|5,충정로,00,2,40
2013-02-04,월,0,1,1,2|5,충정로,00,35,161
2013-02-05,화,0,2,1,2|5,충정로,00,75,217
2013-02-06,수,0,3,1,2|5,충정로,00,67,222
2013-02-07,목,0,4,1,2|5,충정로,00,64,222
2013-02-08,금,0,5,1,2|5,충정로,00,37,150
2013-02-09,공,1,6,0,2|5,충정로,00,11,44
2013-02-10,공,1,0,0,2|5,충정로,00,12,39
2013-02-11,공,1,1,0,2|5,충정로,00,11,91
2013-02-12,화,0,2,1,2|5,충정로,00,33,138
2013-02-13,수,0,3,1,2|5,충정로,00,45,156
2013-02-14,목,0,4,1,2|5,충정로,00,62,212
2013-02-15,금,0,5,1,2|5,충정로,00,61,246
2013-02-16,토,0,6,0,2|5,충정로,00,14,110
2013-02-17,일,0,0,0,2|5,충정로,00,2,40
2013-02-18,월,0,1,1,2|5,충정로,00,34,148
2013-02-19,화,0,2,1,2|5,충정로,00,45,211
2013-02-20,수,0,3,1,2|5,충정로,00,61,192
2013-02-21,목,0,4,1,2|5,충정로,00,64,221
2013-02-22,금,0,5,1,2|5,충정로,00,84,276
2013-02-23,토,0,6,0,2|5,충정로,00,22,91
2013-02-24,일,0,0,0,2|5,충정로,00,0,34
2013-02-25,월,0,1,1,2|5,충정로,00,33,155
