2013-01-01,공,1,2,0,2|6,합정,00,364,464
2013-01-02,수,0,3,1,2|6,합정,00,150,271
2013-01-03,목,0,4,1,2|6,합정,00,267,428
2013-01-04,금,0,5,1,2|6,합정,00,372,559
2013-01-05,토,0,6,0,2|6,합정,00,129,185
2013-01-06,일,0,0,0,2|6,합정,00,1,79
2013-01-07,월,0,1,1,2|6,합정,00,152,276
2013-01-08,화,0,2,1,2|6,합정,00,256,433
2013-01-09,수,0,3,1,2|6,합정,00,237,400
2013-01-10,목,0,4,1,2|6,합정,00,275,469
2013-01-11,금,0,5,1,2|6,합정,00,419,552
2013-01-12,토,0,6,0,2|6,합정,00,147,240
2013-01-13,일,0,0,0,2|6,합정,00,2,49
2013-01-14,월,0,1,1,2|6,합정,00,144,242
2013-01-15,화,0,2,1,2|6,합정,00,223,379
2013-01-16,수,0,3,1,2|6,합정,00,244,401
2013-01-17,목,0,4,1,2|6,합정,00,253,477
2013-01-18,금,0,5,1,2|6,합정,00,433,562
2013-01-19,토,0,6,0,2|6,합정,00,134,294
2013-01-20,일,0,0,0,2|6,합정,00,0,49
2013-01-21,월,0,1,1,2|6,합정,00,180,292
2013-01-22,화,0,2,1,2|6,합정,00,237,368
2013-01-23,수,0,3,1,2|6,합정,00,283,375
2013-01-24,목,0,4,1,2|6,합정,00,251,468
2013-01-25,금,0,5,1,2|6,합정,00,384,601
2013-01-26,토,0,6,0,2|6,합정,00,121,258
2013-01-27,일,0,0,0,2|6,합정,00,0,64
2013-01-28,월,0,1,1,2|6,합정,00,160,307
2013-01-29,화,0,2,1,2|6,합정,00,246,403
2013-01-30,수,0,3,1,2|6,합정,00,309,464
2013-01-31,목,0,4,1,2|6,합정,00,367,528
2013-02-01,금,0,5,1,2|6,합정,00,427,622
2013-02-02,토,0,6,0,2|6,합정,00,97,337
2013-02-03,일,0,0,0,2|6,합정,00,3,64
2013-02-04,월,0,1,1,2|6,합정,00,187,307
2013-02-05,화,0,2,1,2|6,합정,00,242,457
2013-02-06,수,0,3,1,2|6,합정,00,264,500
2013-02-07,목,0,4,1,2|6,합정,00,275,430
2013-02-08,금,0,5,1,2|6,합정,00,274,393
2013-02-09,공,1,6,0,2|6,합정,00,64,184
2013-02-10,공,1,0,0,2|6,합정,00,57,124
2013-02-11,공,1,1,0,2|6,합정,00,131,256
2013-02-12,화,0,2,1,2|6,합정,00,177,339
2013-02-13,수,0,3,1,2|6,합정,00,230,403
2013-02-14,목,0,4,1,2|6,합정,00,322,504
2013-02-15,금,0,5,1,2|6,합정,00,432,668
2013-02-16,토,0,6,0,2|6,합정,00,125,180
2013-02-17,일,0,0,0,2|6,합정,00,2,67
2013-02-18,월,0,1,1,2|6,합정,00,167,238
2013-02-19,화,0,2,1,2|6,합정,00,274,407
2013-02-20,수,0,3,1,2|6,합정,00,360,447
2013-02-21,목,0,4,1,2|6,합정,00,321,580
2013-02-22,금,0,5,1,2|6,합정,00,390,588
2013-02-23,토,0,6,0,2|6,합정,00,107,485
2013-02-24,일,0,0,0,2|6,합정,00,2,51
2013-02-25,월,0,1,1,2|6,합정,00,165,264
2013-02-26,화,0,2,1,2|6,합정,00,298,471
2013-02-27,수,0,3,1,2|6,합정,00,339,459
2013-02-28,목,0,4,1,2|6,합정,00,503,634
2013-03-01,공,1,5,0,2|6,합정,00,153,385
2013-03-02,토,0,6,0,2|6,합정,00,2,12
2013-03-03,일,0,0,0,2|6,합정,00,0,58
2013-03-04,월,0,1,1,2|6,합정,00,162,317
2013-03-05,화,0,2,1,2|6,합정,00,205,453
2013-03-06,수,0,3,1,2|6,합정,00,268,439
2013-03-07,목,0,4,1,2|6,합정,00,282,550
2013-03-08,금,0,5,1,2|6,합정,00,446,602
2013-03-09,토,0,6,0,2|6,합정,00,136,355
2013-03-10,일,0,0,0,2|6,합정,00,0,59
2013-03-11,월,0,1,1,2|6,합정,00,160,268
2013-03-12,화,0,2,1,2|6,합정,00,230,430
2013-03-13,수,0,3,1,2|6,합정,00,258,406
2013-03-14,목,0,4,1,2|6,합정,00,298,493
2013-03-15,금,0,5,1,2|6,합정,00,457,692
2013-03-16,토,0,6,0,2|6,합정,00,152,264
2013-03-17,일,0,0,0,2|6,합정,00,3,83
2013-03-18,월,0,1,1,2|6,합정,00,167,231
2013-03-19,화,0,2,1,2|6,합정,00,278,427
2013-03-20,수,0,3,1,2|6,합정,00,302,419
2013-03-21,목,0,4,1,2|6,합정,00,294,543
2013-03-22,금,0,5,1,2|6,합정,00,498,675
2013-03-23,토,0,6,0,2|6,합정,00,149,556
2013-03-24,일,0,0,0,2|6,합정,00,0,65
2013-03-25,월,0,1,1,2|6,합정,00,145,305
2013-03-26,화,0,2,1,2|6,합정,00,262,504
2013-03-27,수,0,3,1,2|6,합정,00,310,523
2013-03-28,목,0,4,1,2|6,합정,00,313,492
2013-03-29,금,0,5,1,2|6,합정,00,466,769
2013-03-30,토,0,6,0,2|6,합정,00,156,216
2013-03-31,일,0,0,0,2|6,합정,00,1,85
